Transcript	150904CM018-B_al_sorted.bam	150904CM018-W_al_sorted.bam	150904CM763-B_al_sorted.bam	150904CM763-W_al_sorted.bam	150904CM764-B_al_sorted.bam
CNAG_00003T0	6	261.0	592.0	15.0	94.0
CNAG_00004T0	15	578.0	1415.0	50.0	281.0
CNAG_00005T0	10	521.0	575.0	39.0	132.0
CNAG_00006T0	82	4784.0	2048.0	254.0	651.0
CNAG_00007T0	29	1776.0	1787.0	115.0	313.0
CNAG_00008T0	73	1963.0	4617.0	120.0	808.0
CNAG_00009T0	6	546.0	514.0	53.0	106.0
CNAG_00010T0	13	411.0	915.0	54.0	120.0
CNAG_00011T0	24	1265.0	1204.0	50.0	236.0
CNAG_00012T0	16	1463.0	970.0	66.0	198.0
CNAG_00013T0	12	1085.0	1121.0	41.0	299.0
CNAG_00013T1	12	1085.0	1121.0	41.0	299.0
CNAG_00013T2	12	1085.0	1121.0	41.0	299.0
CNAG_00014T0	22	390.0	2551.0	37.0	698.0
CNAG_00015T0	1	109.0	130.0	7.0	24.0
CNAG_00016T0	6	507.0	1110.0	56.0	195.0
CNAG_00017T0	1	222.0	293.0	16.0	59.0
CNAG_00018T0	20	1324.0	608.0	81.0	101.0
CNAG_00019T0	11	1529.0	303.0	189.0	57.0
CNAG_00020T0	55	2711.0	3800.0	162.0	668.0
CNAG_00021T0	10	648.0	300.0	55.0	56.0
CNAG_00022T0	12	768.0	412.0	75.0	60.0
CNAG_00023T0	3	143.0	180.0	1.0	36.0
CNAG_00024T0	142	3548.0	4693.0	409.0	1060.0
CNAG_00024T1	137	3229.0	4536.0	369.0	1024.0
CNAG_00024T2	137	3229.0	4536.0	369.0	1024.0
CNAG_00025T0	21	405.0	1901.0	23.0	359.0
CNAG_00025T1	21	406.0	1920.0	23.0	361.0
CNAG_00026T0	26	2281.0	2551.0	240.0	361.0
CNAG_00026T1	26	2281.0	2551.0	240.0	361.0
CNAG_00027T0	17	665.0	1746.0	40.0	300.0
CNAG_00028T0	13	396.0	1766.0	35.0	274.0
CNAG_00028T1	13	396.0	1766.0	35.0	274.0
CNAG_00031T0	5	428.0	622.0	35.0	82.0
CNAG_00031T1	5	428.0	622.0	35.0	82.0
CNAG_00034T0	116	20537.0	4952.0	2729.0	790.0
CNAG_00035T0	3	61.0	140.0	4.0	32.0
CNAG_00036T0	10	826.0	1546.0	12.0	366.0
CNAG_00038T0	12	911.0	547.0	52.0	120.0
CNAG_00039T0	7	671.0	786.0	32.0	174.0
CNAG_00040T0	73	1574.0	2573.0	88.0	766.0
CNAG_00043T0	14	426.0	316.0	34.0	58.0
CNAG_00043T1	14	426.0	316.0	34.0	58.0
CNAG_00044T0	33	1936.0	1545.0	100.0	345.0
CNAG_00045T0	10	599.0	306.0	22.0	81.0
