Accession	Counts MSTEST-1A	Counts MSTEST-1B	Counts MSTEST-4-6A	Counts MSTEST-4-6B	Coverage MSTEST-1A	Coverage MSTEST-1B	Coverage MSTEST-4-6A	Coverage MSTEST-4-6B	Ratio of average counts from MSTEST-4-6/MSTEST-1	
CNAG_01848T0	1822	1668	3424	2767	56.20%	67.20%	76.40%	76.00%	1.77392550143	
CNAG_06626T0	238	266	424	500	66.30%	84.70%	62.00%	72.80%	1.83333333333	
CNAG_01148T0	44	224	329	316	31.80%	39.60%	77.90%	68.10%	2.40671641791	
CNAG_01117T0	24	206	213	398	21.30%	52.80%	43.00%	46.70%	2.65652173913	
CNAG_01152T0	84	134	282	321	54.00%	68.40%	59.70%	63.10%	2.76605504587	
CNAG_05555T0	44	132	295	292	33.80%	68.40%	73.20%	63.40%	3.33522727273	
CNAG_05232T0	69	91	273	298	51.40%	70.20%	62.90%	63.30%	3.56875	
CNAG_06468T0	42	105	137	249	15.80%	43.20%	55.20%	63.30%	2.62585034014	
CNAG_02100T0	59	86	158	213	18.60%	26.80%	60.50%	65.60%	2.55862068966	
CNAG_06605T0	55	78	136	208	44.90%	65.20%	57.50%	59.30%	2.58646616541	
CNAG_01750T0	49	72	107	208	33.80%	46.00%	33.60%	37.80%	2.60330578512	
CNAG_06273T0	43	77	146	160	35.10%	32.90%	78.90%	55.30%	2.55	
CNAG_07413T0	46	59	137	169	27.70%	45.30%	36.40%	42.00%	2.91428571429	
CNAG_06231T0	39	66	123	181	56.30%	47.70%	37.40%	39.50%	2.89523809524	
CNAG_01179T0	39	62	142	161	38.30%	60.00%	59.70%	59.70%	3.0	
CNAG_03198T0	18	73	137	165	47.60%	56.70%	57.00%	71.50%	3.31868131868	
CNAG_01125T0	38	49	118	166	17.70%	25.50%	68.00%	75.00%	3.26436781609	
CNAG_00809T0	20	64	106	154	22.90%	40.70%	31.00%	31.70%	3.09523809524	
CNAG_04004T0	18	65	89	164	32.80%	66.00%	23.20%	28.40%	3.04819277108	
CNAG_04609T0	30	52	129	120	20.70%	35.80%	66.50%	73.50%	3.03658536585	
CNAG_03053T0	43	39	121	124	45.50%	66.20%	40.70%	38.40%	2.98780487805	
CNAG_04726T0	38	43	112	114	28.50%	58.10%	50.80%	49.20%	2.79012345679	
CNAG_05800T0	40	38	87	138	41.00%	46.70%	54.90%	60.60%	2.88461538462	
CNAG_06095T0	16	60	90	128	36.60%	49.30%	38.10%	41.10%	2.86842105263	
CNAG_00116T0	39	28	82	135	28.60%	34.50%	44.40%	45.00%	3.23880597015	
CNAG_04954T0	46	20	96	120	18.60%	15.60%	47.80%	46.10%	3.27272727273	
CNAG_06611T0	21	40	73	138	9.40%	20.70%	34.80%	47.30%	3.45901639344	
CNAG_01486T0	15	43	77	125	28.40%	50.70%	39.10%	43.00%	3.48275862069	
CNAG_01187T0	34	24	73	118	27.80%	40.70%	61.00%	68.40%	3.29310344828	
CNAG_01332T0	31	27	95	95	40.00%	49.60%	49.90%	56.10%	3.27586206897	
CNAG_03975T0	22	32	107	83	14.10%	16.50%	58.60%	51.70%	3.51851851852	
CNAG_02144T0	29	24	72	109	28.30%	40.70%	65.50%	68.10%	3.41509433962	
CNAG_01564T0	13	40	50	128	13.70%	25.50%	34.40%	46.80%	3.35849056604	
CNAG_00672T0	18	34	66	108	48.40%	68.60%	31.90%	31.20%	3.34615384615	
CNAG_03787T0	34	17	71	103	25.70%	31.70%	44.20%	55.90%	3.41176470588	
CNAG_03944T0	16	35	98	73	12.70%	31.80%	35.10%	55.10%	3.35294117647	
CNAG_06980T0	19	32	62	108	11.80%	20.80%	24.10%	28.00%	3.33333333333	
CNAG_02928T0	25	23	87	81	40.80%	46.10%	50.00%	55.20%	3.5	
CNAG_02234T0	14	33	76	88	14.90%	50.20%	49.30%	38.60%	3.48936170213	
CNAG_03510T0	23	22	62	102	39.60%	55.00%	49.90%	45.10%	3.64444444444	
CNAG_04513T0	12	30	57	106	8.20%	19.70%	33.20%	41.90%	3.88095238095	
CNAG_02720T0	19	22	58	101	12.60%	34.40%	27.90%	33.50%	3.87804878049	
CNAG_03302T0	16	23	81	77	10.30%	24.50%	43.50%	46.20%	4.05128205128	
CNAG_01168T0	29	10	69	87	22.50%	23.50%	49.10%	59.10%	4.0	
CNAG_04694T0	20	19	68	81	11.50%	12.50%	58.90%	52.60%	3.82051282051	
CNAG_03127T0	6	33	44	102	32.40%	53.10%	27.90%	48.60%	3.74358974359	
CNAG_05759T0	7	31	60	85	2.20%	3.30%	51.20%	45.40%	3.81578947368	
CNAG_01938T0	12	23	46	98	12.60%	9.40%	20.10%	27.50%	4.11428571429	
CNAG_03283T0	12	23	62	81	20.70%	35.30%	43.40%	49.90%	4.08571428571	
CNAG_01398T0	23	11	51	92	11.50%	9.60%	64.30%	63.20%	4.20588235294	
CNAG_04883T0	14	20	70	72	12.90%	57.40%	47.70%	37.90%	4.17647058824	
CNAG_01236T0	9	24	40	99	14.90%	37.70%	26.60%	34.10%	4.21212121212	
CNAG_00771T0	7	26	63	75	23.60%	51.20%	40.20%	47.10%	4.18181818182	
CNAG_05976T0	16	17	48	87	23.90%	22.50%	33.70%	42.50%	4.09090909091	
CNAG_03724T0	6	27	40	94	7.30%	11.70%	42.70%	43.30%	4.06060606061	
CNAG_01432T0	13	20	56	77	17.20%	18.90%	28.00%	41.70%	4.0303030303	
CNAG_05465T0	11	22	47	85	31.20%	35.00%	66.30%	59.70%	4.0	
CNAG_00147T0	15	17	54	77	2.40%	2.60%	32.70%	50.00%	4.09375	
CNAG_02857T0	19	13	42	85	10.90%	14.40%	25.70%	37.10%	3.96875	
CNAG_01840T0	16	15	51	76	15.70%	31.00%	13.90%	17.90%	4.09677419355	
CNAG_01039T0	7	23	47	78	3.40%	3.30%	64.60%	47.80%	4.16666666667	
CNAG_06325T0	11	19	53	72	14.10%	13.70%	42.60%	55.60%	4.16666666667	
CNAG_04176T0	17	13	57	67	31.20%	10.30%	27.90%	25.60%	4.13333333333	
CNAG_05762T0	15	14	46	77	31.50%	100.00%	38.10%	40.50%	4.24137931034	
CNAG_06160T0	12	16	44	78	7.40%	3.20%	29.00%	31.00%	4.35714285714	
CNAG_00992T0	11	16	45	77	24.70%	21.10%	56.30%	62.00%	4.51851851852	
CNAG_05558T0	15	12	36	85	9.30%	4.50%	19.20%	32.10%	4.48148148148	
CNAG_05525T0	10	17	43	77	24.20%	34.10%	20.40%	44.50%	4.44444444444	
CNAG_03554T0	17	9	53	67	3.20%	10.50%	31.30%	31.60%	4.61538461538	
CNAG_02209T0	18	8	63	57	19.60%	22.10%	50.00%	56.20%	4.61538461538	
CNAG_00602T0	8	17	47	72	10.90%	41.60%	25.60%	38.30%	4.76	
CNAG_03791T0	8	17	52	67	5.40%	6.90%	24.00%	28.20%	4.76	
CNAG_04628T0	13	12	60	59	33.10%	41.20%	71.10%	58.40%	4.76	
CNAG_04981T0	6	19	49	69	6.70%	16.10%	40.80%	33.50%	4.72	
CNAG_03966T0	19	5	42	76	8.00%	3.30%	36.90%	38.50%	4.91666666667	
CNAG_00891T0	7	17	52	66	10.90%	21.50%	26.80%	34.90%	4.91666666667	
CNAG_04131T0	11	13	42	75	7.60%	6.60%	40.30%	58.50%	4.875	
CNAG_01480T0	18	6	72	44	35.20%	34.50%	22.10%	30.20%	4.83333333333	
CNAG_03563T0	8	16	56	54	7.60%	7.70%	31.90%	36.10%	4.58333333333	
CNAG_07445T0	18	6	59	49	12.10%	16.20%	78.70%	47.30%	4.5	
CNAG_03015T0	8	15	34	73	18.70%	20.90%	17.40%	32.00%	4.65217391304	
CNAG_02382T0	8	15	46	58	12.50%	35.50%	43.00%	64.90%	4.52173913043	
CNAG_06699T0	8	14	49	54	14.70%	18.60%	52.90%	58.30%	4.68181818182	
CNAG_02175T0	12	10	46	56	3.10%	4.60%	17.60%	25.00%	4.63636363636	
CNAG_03765T0	14	8	49	53	4.00%	5.80%	48.10%	57.60%	4.63636363636	
CNAG_07507T0	10	11	29	72	1.10%	3.50%	39.00%	61.00%	4.80952380952	
CNAG_05274T0	16	5	39	62	11.90%	10.30%	31.60%	38.60%	4.80952380952	
CNAG_00547T0	11	10	44	57	6.20%	4.00%	55.40%	49.10%	4.80952380952	
