Transcript	Intron	Five_p_Score	Three_p_Score	
CNAG_00868	0	6.96567629901	11.7949803283	
CNAG_07389	0	5.01739248406	9.33311626645	
CNAG_07389	1	6.08563288563	13.9252204586	
CNAG_07389	2	5.98388278388	13.5423687424	
CNAG_07389	3	6.90077330077	10.8117758784	
CNAG_07389	4	5.30538597205	13.2367928368	
CNAG_00863	0	5.01739248406	9.33311626645	
CNAG_00863	1	6.08563288563	13.9252204586	
CNAG_00863	2	5.98388278388	13.5423687424	
CNAG_00863	3	6.90077330077	10.8117758784	
CNAG_00863	4	5.30538597205	13.2367928368	
CNAG_00860	0	5.4071360738	13.9396554063	
CNAG_00860	1	6.4881291548	13.4991724325	
CNAG_07381	0	5.61638854972	10.7015601682	
CNAG_07381	1	6.47537647538	11.4976529643	
CNAG_07381	2	6.42740469407	11.4841948175	
CNAG_07381	3	6.03011803012	10.3687966355	
CNAG_07381	4	7.15870302537	13.4099036766	
CNAG_07381	5	5.44609957943	12.8613213947	
CNAG_07381	6	6.13989960657	12.4506851174	
CNAG_07381	7	5.34288427622	13.2834079501	
CNAG_00866	0	5.51181657848	10.8322344322	
CNAG_00866	1	4.89008275675	12.6257495591	
CNAG_00866	2	5.35162121829	10.1612264279	
CNAG_00866	3	5.93124406458	10.603988604	
CNAG_00866	4	6.55031881699	11.1025369692	
CNAG_00866	5	5.8265635599	10.5791344458	
CNAG_00866	6	7.53178673179	12.119006919	
CNAG_00866	7	5.22431149098	10.5217745218	
CNAG_00866	8	5.93124406458	10.5415276082	
CNAG_00866	9	5.59701533035	11.470302537	
CNAG_00866	10	5.84778184778	10.7357482024	
CNAG_00866	11	5.38499525166	13.7495048162	
CNAG_07387	0	5.05076651743	12.9919956587	
CNAG_07387	1	5.42395875729	10.9915615249	
CNAG_07387	2	6.50408357075	13.0421381088	
CNAG_07387	3	5.47019400353	11.3821191155	
CNAG_07387	4	5.55078008411	11.5311897979	
CNAG_07387	5	6.71952245286	13.1442138109	
CNAG_07387	6	5.51181657848	11.3669787003	
CNAG_07387	7	5.47019400353	10.9632885633	
CNAG_07387	8	6.00944240944	11.5531135531	
CNAG_00864	0	5.69925383259	11.4049111382	
CNAG_00864	1	6.38551078551	10.785619319	
CNAG_00864	2	5.59701533035	10.840645774	
CNAG_00864	3	7.00800434134	12.8450956451	
CNAG_00864	4	5.22431149098	12.3629358296	
CNAG_00864	5	6.44238230905	10.4773300773	
CNAG_00864	6	6.45882512549	13.339031339	
CNAG_00865	0	6.42555962556	12.662705196	
CNAG_00865	1	5.61069054402	13.0366029033	
CNAG_00865	2	6.06919006919	13.7627458961	
CNAG_00549	0	6.01231854565	13.5398182065	
CNAG_00549	1	5.78032831366	13.6477004477	
CNAG_00549	2	7.221001221	11.8222764889	
CNAG_00869	0	6.4741283408	13.7718084385	
CNAG_00869	1	7.42455569122	13.2077601411	
CNAG_00869	2	5.84875864876	13.3751729752	
CNAG_00869	3	6.71952245286	12.8942070275	
CNAG_00869	4	7.40284900285	13.0435490435	
CNAG_00869	5	5.22431149098	12.6589065256	
CNAG_00869	6	4.89008275675	13.5693393027	
CNAG_00869	7	6.13989960657	10.480314747	
CNAG_00869	8	5.90280830281	13.7508614842	
CNAG_00869	9	5.75818749152	13.1795414462	
CNAG_00869	10	5.89575362909	10.1669787003	
CNAG_00869	11	6.73900420567	13.5497490164	
CNAG_00869	12	5.01739248406	11.3981277981	
CNAG_00869	13	5.4071360738	13.3331705332	
CNAG_00869	14	6.6579297246	12.4516076516	
CNAG_03449	0	6.97587844255	12.2860941528	
CNAG_03449	1	6.01231854565	11.3974765975	
CNAG_03449	2	6.65695292362	13.4115859449	
CNAG_03449	3	6.51075837743	9.34364401031	
CNAG_03448	0	6.86620539954	13.9177859178	
CNAG_03448	1	6.22097408764	12.1302401302	
CNAG_03448	2	6.51336318003	13.6187220187	
CNAG_03445	0	6.13989960657	12.7305928639	
CNAG_03445	1	6.51336318003	13.3765296432	
CNAG_06164	0	5.8908696242	12.2433862434	
CNAG_06164	1	6.36581196581	13.4164156831	
CNAG_06164	2	5.05076651743	12.8453669787	
CNAG_06164	3	6.71952245286	12.241703975	
CNAG_06164	4	6.4824311491	10.7752001085	
CNAG_06167	0	6.63481210148	12.5620946954	
CNAG_06167	1	6.52622439289	13.0218966219	
CNAG_06167	2	5.34288427622	11.4910866911	
CNAG_03446	0	5.88500881834	12.045312712	
CNAG_03446	1	5.34288427622	13.3522181522	
CNAG_03446	2	6.6014380681	11.3621489621	
CNAG_03446	3	5.88500881834	13.1515940849	
CNAG_03446	4	6.92790666124	10.7095916429	
CNAG_03446	5	6.63481210148	12.8055894723	
CNAG_03446	6	6.32272418939	11.5832315832	
CNAG_03446	7	6.51102971103	9.80241486908	
CNAG_03441	0	4.89008275675	11.7034866368	
CNAG_06160	0	5.30538597205	12.8333197667	
CNAG_06160	1	7.23782390449	12.3101885769	
CNAG_06160	2	5.38499525166	13.3405508072	
CNAG_06160	3	6.00944240944	13.3813593814	
CNAG_06160	4	7.37050603717	10.6537511871	
CNAG_06160	5	7.40773300773	10.2925518926	
CNAG_06160	6	5.61638854972	12.9578076245	
CNAG_06160	7	5.42395875729	13.552353819	
