Chromosome	Telomere Side	Telomere Start	Telomere End	Telomere Length	Chrom Average Coverage	Telomere Average Coverage	Telomere Total No. Reads	Length of Centromere	No. of Reads in Centromere	Average Coverage of Centromere	
I	5'	0	6480	6481	0.0492283703723	0.227472685185	30	35734	73	0.102143616724	
I	3'	5577097	5579133	2037	0.0492283703723	0.120810412574	5				
AB325691			51314		0.0492283703723						
MTR			40884		0.0492283703723						
II	5'	0	2655	2656	0.0492283703723	0.0379566854991	2	42483	118	0.138879081044	
II	3'	4533348	4539804	6457	0.0492283703723	0.126211895911	16				
MT			19431		0.0492283703723						
III	5'	0	1595	1596	0.0492283703723	0.1828	7	66099	235	0.177763657544	
III	3'	2451156	2452883	1728	0.0492283703723	0.135427330631	5				
Telomere-ness: 2218.71486907	Centromere-ness: 14195.5585013	Total Reads: 12537	
dh region	Start	End	Length	DH Coverage	# Reads above background	
III.1	1107933	1109897	1964	0.178207739308	5.06630961177	
I.4	3788242	3788981	739	0.270635994587	3.2724046859	
I.1	3754127	3758082	3955	0.113780025284	5.10603590355	
I.2	3784192	3786038	1846	0.0270855904659	-0.817511434147	
I.3	3786091	3787488	1397	0.143163922691	2.6245593318	
III.4	1110641	1111378	737	0.271370420624	3.27437382071	
III.2	1089048	1090433	1385	0.14440433213	2.63637414069	
II.4	1634938	1636308	1370	0.14598540146	2.6511426518	
III.3	1087567	1088304	737	0.542740841248	7.27437382071	
II.1	1613024	1614852	1828	0.082056892779	1.20021077919	
II.2	1633030	1634858	1828	0.054704595186	0.200210779187	
II.3	1611574	1612947	1373	0.291332847779	6.64818894958	
dg region	Start	End	Length	DG Coverage	# Reads above background	
III.10	1128372	1129898	1526	0.360419397117	9.49755013624	
III.8	1114852	1116378	1526	0.131061598952	2.49755013624	
III.9	1121612	1123138	1526	0.262123197903	6.49755013624	
III.4	1132719	1138073	5354	0.224131490474	18.7286261005	
III.5	1112439	1114793	2354	0.127442650807	3.68232832287	
III.6	1119199	1121553	2354	0.233644859813	8.68232832287	
III.7	1125959	1128313	2354	0.233644859813	8.68232832287	
III.1	1074053	1077875	3822	0.300889586604	19.2369833687	
III.2	1080694	1083347	2653	0.188465887674	7.38794266804	
I.1	3759165	3763095	3930	0.254452926209	16.1306500887	
I.2	3779179	3783109	3930	0.178117048346	10.1306500887	
III.3	1084154	1086508	2354	0.127442650807	3.68232832287	
II.1	1605194	1609031	3837	0.247589262445	15.2222148576	
II.2	1638851	1642688	3837	0.208496221006	12.2222148576	
