Chromosome	Telomere Side	Telomere Start	Telomere End	Telomere Length	Chrom Average Coverage	Telomere Average Coverage	Telomere Total No. Reads	Length of Centromere	No. of Reads in Centromere	Average Coverage of Centromere	
I	5'	0	43733	43734	6.99127605706	62.5333496216	53940	35734	11251	15.7427100241	
I	3'	5526559	5579133	52575	6.99127605706	47.8350972154	49545				
AB325691			51314		6.99127605706						
MTR			40884		6.99127605706						
II	5'	0	23840	23841	6.99127605706	35.3523127517	16601	42483	18589	21.8781630299	
II	3'	4491354	4539804	48451	6.99127605706	71.9955850774	68515				
MT			19431		6.99127605706						
III	5'	0	25441	25442	6.99127605706	206.805122322	103747	66099	24092	18.2241788832	
III	3'	2439080	2452883	13804	6.99127605706	214.14622314	58424				
Telomere-ness: 16085526.193	Centromere-ness: 1687647.00455	Total Reads: 2097047	
dh region	Start	End	Length	DH Coverage	# Reads above background	
III.1	1107933	1109897	1964	21.766802444	580.382676479	
I.4	3788242	3788981	739	32.0027063599	369.668939877	
I.1	3754127	3758082	3955	23.0973451327	1273.99006389	
I.2	3784192	3786038	1846	17.9306608884	403.882087973	
I.3	3786091	3787488	1397	26.4137437366	542.663746966	
III.4	1110641	1111378	737	33.2428765265	386.948590919	
III.2	1089048	1090433	1385	25.8844765343	523.341653219	
II.4	1634938	1636308	1370	28.7226277372	595.439036036	
III.3	1087567	1088304	737	35.8208955224	424.948590919	
II.1	1613024	1614852	1828	20.1859956236	482.398947354	
II.2	1633030	1634858	1828	18.818380744	432.398947354	
II.3	1611574	1612947	1373	27.9315367808	575.019559473	
dg region	Start	End	Length	DG Coverage	# Reads above background	
III.10	1128372	1129898	1526	19.8885976409	393.626254738	
III.8	1114852	1116378	1526	21.1009174312	430.626254738	
III.9	1121612	1123138	1526	22.1166448231	461.626254738	
III.4	1132719	1138073	5354	19.4620844229	1335.37415981	
III.5	1112439	1114793	2354	18.7553101105	553.850723234	
III.6	1119199	1121553	2354	19.0951571793	569.850723234	
III.7	1125959	1128313	2354	17.948173322	515.850723234	
III.1	1074053	1077875	3822	24.6336996337	1348.5868582	
III.2	1080694	1083347	2653	22.2201281568	808.042892412	
I.1	3759165	3763095	3930	19.2239185751	961.485701915	
I.2	3779179	3783109	3930	19.7709923664	1004.48570191	
III.3	1084154	1086508	2354	19.4987255735	588.850723234	
II.1	1605194	1609031	3837	24.7849882721	1365.48947538	
II.2	1638851	1642688	3837	23.7294761532	1284.48947538	
