Chromosome	Telomere Side	Telomere Start	Telomere End	Telomere Length	Chrom Average Coverage	Telomere Average Coverage	Telomere Total No. Reads	Length of Centromere	No. of Reads in Centromere	Average Coverage of Centromere	
I	5'	0	5992	5993	0.0369746990872	0.216230307076	27	35734	76	0.106341299603	
I	3'	5577521	5579133	1613	0.0369746990872	0.0857270471464	3				
AB325691			51314		0.0369746990872						
MTR			40884		0.0369746990872						
II	5'	0	1571	1572	0.0369746990872	0.0320394653087	1	42483	75	0.0882706023586	
II	3'	4537062	4539804	2743	0.0369746990872	0.0369693654267	2				
MT			19431		0.0369746990872						
III	5'	0	869	870	0.0369746990872	0.310667433832	7	66099	167	0.126325663021	
III	3'	2452075	2452883	809	0.0369746990872	0.133986386139	3				
Telomere-ness: 1647.36594061	Centromere-ness: 10563.9593265	Total Reads: 9460	
dh region	Start	End	Length	DH Coverage	# Reads above background	
III.1	1107933	1109897	1964	0.10183299389	2.54763381986	
I.4	3788242	3788981	739	0.338294993234	4.45351394749	
I.1	3754127	3758082	3955	0.139064475348	8.0753013022	
I.2	3784192	3786038	1846	0.0541711809317	0.634894109701	
I.3	3786091	3787488	1397	0.143163922691	2.9669269075	
III.4	1110641	1111378	737	0.271370420624	3.45499293545	
III.2	1089048	1090433	1385	0.216606498195	4.97580083528	
II.4	1634938	1636308	1370	0.182481751825	3.98689324501	
III.3	1087567	1088304	737	0.33921302578	4.45499293545	
II.1	1613024	1614852	1828	0.027352297593	-0.351794998628	
II.2	1633030	1634858	1828	0.027352297593	-0.351794998628	
II.3	1611574	1612947	1373	0.109249817917	1.98467476307	
dg region	Start	End	Length	DG Coverage	# Reads above background	
III.10	1128372	1129898	1526	0.196592398427	4.87153218386	
III.8	1114852	1116378	1526	0.262123197903	6.87153218386	
III.9	1121612	1123138	1526	0.131061598952	2.87153218386	
III.4	1132719	1138073	5354	0.158759805753	13.0407492217	
III.5	1112439	1114793	2354	0.191163976211	7.25923116698	
III.6	1119199	1121553	2354	0.191163976211	7.25923116698	
III.7	1125959	1128313	2354	0.106202209006	3.25923116698	
III.1	1074053	1077875	3822	0.117739403454	6.17365400178	
III.2	1080694	1083347	2653	0.188465887674	8.03812246643	
I.1	3759165	3763095	3930	0.203562340967	13.0937886517	
I.2	3779179	3783109	3930	0.178117048346	11.0937886517	
III.3	1084154	1086508	2354	0.191163976211	7.25923116698	
II.1	1605194	1609031	3837	0.221527234819	14.162561592	
II.2	1638851	1642688	3837	0.156372165754	9.16256159205	
