transcript	 5' splice site hits	 5' splice sites 	 3' splice site hits 	 3' splice sites 	 new peaks 
CNAG_01093T0	0	3	0	3	1
CNAG_03281T0	8	10	6	10	6
CNAG_03281T1	10	12	7	12	3
CNAG_03281T2	9	11	6	11	5
CNAG_00115T0	4	5	4	5	2
CNAG_00453T0	4	5	4	5	8
CNAG_06388T0	2	3	2	3	2
CNAG_01761T0	2	4	2	4	3
CNAG_03140T0	11	13	11	13	26
CNAG_06400T0	6	7	5	7	5
CNAG_02129T0	7	8	6	8	7
CNAG_02230T0	19	21	14	21	40
CNAG_02986T0	6	7	6	7	3
CNAG_01577T0	7	9	6	9	10
CNAG_01984T0	6	7	6	7	2
CNAG_00407T0	7	8	7	8	9
CNAG_06207T0	2	3	2	3	4
CNAG_04659T0	8	9	7	9	15
CNAG_05251T0	3	4	2	4	2
CNAG_06699T0	11	12	11	12	17
CNAG_03769T0	9	10	8	10	11
CNAG_01558T0	5	6	5	6	9
CNAG_06164T0	0	6	0	6	18
CNAG_03358T0	7	8	6	8	12
CNAG_00130T0	8	10	8	10	2
CNAG_00162T0	4	5	3	5	9
CNAG_03438T0	5	6	5	6	15
CNAG_02542T0	3	4	3	4	8
CNAG_05994T0	11	13	6	13	16
CNAG_05199T0	7	8	7	8	2
CNAG_00848T2	8	11	8	11	9
CNAG_00848T0	8	11	8	11	9
CNAG_00848T1	8	11	8	11	9
CNAG_06125T0	7	8	7	8	19
CNAG_06404T0	2	3	2	3	4
CNAG_07745T0	3	4	3	4	10
CNAG_06770T0	8	9	7	9	13
CNAG_06923T0	4	5	4	5	13
CNAG_06075T0	4	5	4	5	10
CNAG_01621T0	4	7	4	7	9
CNAG_03143T0	2	3	2	3	4
CNAG_06298T0	2	4	2	4	5
CNAG_01750T0	5	6	5	6	16
CNAG_07746T0	0	3	0	3	4
CNAG_06150T0	6	7	6	7	14
CNAG_01727T0	6	7	6	7	11
CNAG_01464T0	6	7	6	7	17
CNAG_06297T0	2	3	2	3	0
CNAG_07347T0	6	7	6	7	24
CNAG_07561T0	8	9	7	9	7
CNAG_03007T0	5	6	4	6	2
