Transcript	Length
CNAG_00001T0	830
CNAG_00002T0	1089
CNAG_00003T0	2397
CNAG_00004T0	3453
CNAG_00005T0	2410
CNAG_00006T0	1609
CNAG_00007T0	2290
CNAG_00008T0	4358
CNAG_00009T0	1774
CNAG_00010T0	4077
CNAG_00011T0	2039
CNAG_00012T0	1660
CNAG_00013T0	2647
CNAG_00013T1	2647
CNAG_00013T2	2647
CNAG_00014T0	2930
CNAG_00015T0	1352
CNAG_00016T0	1328
CNAG_00017T0	3264
CNAG_00018T0	2829
CNAG_00019T0	761
CNAG_00020T0	3910
CNAG_00021T0	2054
CNAG_00022T0	1247
CNAG_00023T0	1712
CNAG_00024T0	4213
CNAG_00024T1	4213
CNAG_00024T2	4213
CNAG_00025T0	3724
CNAG_00025T1	3724
CNAG_00026T0	2110
CNAG_00026T1	2110
CNAG_00027T0	3902
CNAG_00028T0	2466
CNAG_00028T1	2466
CNAG_00029T0	1508
CNAG_00030T0	1424
CNAG_00030T1	1424
CNAG_00031T0	3712
CNAG_00031T1	3712
CNAG_00032T0	2590
CNAG_00033T0	534
CNAG_00034T0	1637
CNAG_00035T0	4953
CNAG_00036T0	1571
CNAG_00038T0	2539
CNAG_00039T0	5207
CNAG_00040T0	2471
CNAG_00043T0	3465
CNAG_00043T1	3465
CNAG_00044T0	3963
CNAG_00045T0	1578
CNAG_00046T0	1641
CNAG_00047T0	2436
CNAG_00048T0	2576
CNAG_00049T0	2271
CNAG_00050T0	1447
CNAG_00051T0	6668
CNAG_00051T1	6668
CNAG_00052T0	721
CNAG_00053T0	1036
CNAG_00054T0	1272
CNAG_00055T0	1494
CNAG_00056T0	2360
CNAG_00057T0	1641
CNAG_00058T0	2811
CNAG_00059T0	1055
CNAG_00060T0	1708
CNAG_00060T1	1708
CNAG_00061T0	2976
CNAG_00062T0	2135
CNAG_00063T0	1497
CNAG_00064T0	1239
CNAG_00065T0	1977
CNAG_00066T0	4875
CNAG_00067T0	2419
CNAG_00068T0	3918
CNAG_00069T0	1260
CNAG_00070T0	3038
CNAG_00072T0	2013
CNAG_00073T0	4050
CNAG_00074T0	2933
CNAG_00075T0	1024
CNAG_00076T0	2519
CNAG_00077T0	3166
CNAG_00078T0	4750
CNAG_00079T0	1501
CNAG_00080T0	1984
CNAG_00081T0	3388
CNAG_00082T0	1262
CNAG_00083T0	3317
CNAG_00084T0	4479
CNAG_00085T0	1132
CNAG_00086T0	2407
CNAG_00087T0	2941
CNAG_00088T0	1679
CNAG_00089T0	1495
CNAG_00090T0	2191
CNAG_00090T1	2191
CNAG_00091T0	2256
CNAG_00092T0	917
CNAG_00093T0	3062
CNAG_00094T0	5520
CNAG_00095T0	3945
CNAG_00096T0	2935
CNAG_00097T0	2891
CNAG_00098T0	3121
CNAG_00099T0	3112
CNAG_00100T0	2235
CNAG_00101T0	1283
CNAG_00104T0	4024
CNAG_00105T0	1471
CNAG_00106T0	5047
CNAG_00107T0	2062
CNAG_00108T0	1793
CNAG_00109T0	1366
CNAG_00109T1	1366
CNAG_00110T0	2426
CNAG_00111T0	2512
CNAG_00115T0	1647
CNAG_00116T0	1806
CNAG_00117T0	2496
CNAG_00118T0	1203
CNAG_00119T0	917
CNAG_00120T0	1277
CNAG_00121T0	2181
CNAG_00122T0	3331
CNAG_00123T0	1442
CNAG_00124T0	2484
CNAG_00125T0	4136
CNAG_00126T0	1545
CNAG_00127T0	2723
CNAG_00128T0	4324
CNAG_00129T0	2156
CNAG_00130T0	5142
CNAG_00131T0	2070
CNAG_00132T0	3870
CNAG_00132T1	3870
CNAG_00133T0	1786
CNAG_00134T0	3029
CNAG_00135T0	646
CNAG_00136T0	4040
CNAG_00137T0	1925
CNAG_00138T0	1424
CNAG_00139T0	1846
CNAG_00140T0	2863
CNAG_00141T0	1662
CNAG_00142T0	3025
CNAG_00143T0	2487
CNAG_00144T0	2003
CNAG_00144T1	1179
CNAG_00145T0	1596
CNAG_00146T0	1985
CNAG_00147T0	8511
CNAG_00148T0	6585
CNAG_00149T0	931
CNAG_00150T0	3784
CNAG_00151T0	2961
CNAG_00152T0	2273
CNAG_00153T0	2131
CNAG_00153T1	2131
CNAG_00154T0	2158
CNAG_00155T0	1084
CNAG_00156T0	4400
CNAG_00156T1	4400
CNAG_00157T0	2640
CNAG_00158T0	2545
CNAG_00159T0	574
CNAG_00160T0	1420
CNAG_00161T0	1688
CNAG_00162T0	1685
CNAG_00163T0	4025
CNAG_00163T1	4025
CNAG_00164T0	2102
CNAG_00165T0	1427
CNAG_00166T0	2238
CNAG_00167T0	2340
CNAG_00171T0	1798
CNAG_00172T0	3884
CNAG_00173T0	1464
CNAG_00174T0	4109
CNAG_00175T0	2313
CNAG_00176T0	2467
CNAG_00176T1	2467
CNAG_00177T0	2258
CNAG_00178T0	4708
CNAG_00179T0	2498
CNAG_00179T1	2498
CNAG_00180T0	1374
CNAG_00181T0	2267
CNAG_00182T0	1595
CNAG_00182T1	1595
CNAG_00183T0	2666
CNAG_00183T1	2666
CNAG_00184T0	2721
CNAG_00185T0	1510
CNAG_00186T0	662
CNAG_00187T0	2442
CNAG_00188T0	1136
CNAG_00189T0	1621
CNAG_00190T0	2319
CNAG_00191T0	2121
CNAG_00192T0	4251
CNAG_00193T0	5476
CNAG_00194T0	1408
CNAG_00195T0	1033
CNAG_00229T0	3711
CNAG_00231T0	1817
CNAG_00232T0	993
CNAG_00233T0	813
CNAG_00234T0	1521
CNAG_00235T0	4161
CNAG_00236T0	1842
CNAG_00237T0	2781
CNAG_00238T0	3959
CNAG_00239T0	2857
CNAG_00240T0	3484
CNAG_00241T0	3059
CNAG_00242T0	2005
CNAG_00243T0	1117
CNAG_00246T0	2307
CNAG_00247T0	3734
CNAG_00248T0	4387
CNAG_00249T0	2506
CNAG_00250T0	2228
CNAG_00251T0	1412
CNAG_00252T0	1457
CNAG_00252T1	1457
CNAG_00253T0	3144
CNAG_00254T0	1791
CNAG_00255T0	740
CNAG_00256T0	1367
CNAG_00257T0	6518
CNAG_00257T1	6518
CNAG_00258T0	4218
CNAG_00259T0	1347
CNAG_00260T0	2176
CNAG_00261T0	2198
CNAG_00262T0	1230
CNAG_00262T1	1230
CNAG_00263T0	1826
CNAG_00264T0	2176
CNAG_00264T1	2176
CNAG_00265T0	1364
CNAG_00266T0	1854
CNAG_00267T0	2175
CNAG_00268T0	2707
CNAG_00269T0	2168
CNAG_00270T0	910
CNAG_00271T0	1579
CNAG_00272T0	6541
CNAG_00273T0	1257
CNAG_00274T0	3222
CNAG_00275T0	2504
CNAG_00276T0	1842
CNAG_00277T0	1234
CNAG_00278T0	1546
CNAG_00279T0	1308
CNAG_00280T0	1319
CNAG_00283T0	1901
CNAG_00284T0	2591
CNAG_00284T1	2591
CNAG_00285T0	5385
CNAG_00286T0	2356
CNAG_00287T0	1738
CNAG_00288T0	1169
CNAG_00289T0	1276
CNAG_00290T0	2011
CNAG_00291T0	2018
CNAG_00292T0	2168
CNAG_00293T0	1924
CNAG_00294T0	3704
CNAG_00295T0	1032
CNAG_00299T0	4708
CNAG_00300T0	4747
CNAG_00301T0	1552
CNAG_00302T0	2108
CNAG_00303T0	2926
CNAG_00303T1	2926
CNAG_00304T0	1154
CNAG_00305T0	1779
CNAG_00305T1	1779
CNAG_00306T0	1434
CNAG_00307T0	634
CNAG_00308T0	2115
CNAG_00309T0	4013
CNAG_00310T0	1906
CNAG_00311T0	2470
CNAG_00312T0	1517
CNAG_00313T0	3437
CNAG_00314T0	2537
CNAG_00315T0	1192
CNAG_00316T0	1376
CNAG_00317T0	2501
CNAG_00318T0	932
CNAG_00319T0	1305
CNAG_00319T1	1305
