	Five_p_Score	Three_p_Score	150904CM018-A_end	150904CM018-B_end	150904CM018-W_end	150904CM763-A_end	150904CM763-B_end	150904CM763-W_end	150904CM764-A_end	150904CM764-B_end	150904CM018-A_total	150904CM018-B_total	150904CM018-W_total	150904CM763-A_total	150904CM763-B_total	150904CM763-W_total	150904CM764-A_total	150904CM764-B_total	Length	150904CM763-A_end_norm	150904CM764-A_end_norm
CNAG_00001T0-1	8.81948175282	12.4936643603	0	0	0	3	0	0	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	830	0.0	0.0
CNAG_00002T0-1	5.8265635599	10.4950210284	0	0	0	0	0	0	0	0	1.0	0.0	346.0	11.0	74.0	19.0	17.0	10.0	1089	0.0	0.0
CNAG_00002T0-2	5.49233482567	11.2159001492	0	0	0	0	0	0	1	0	1.0	0.0	346.0	11.0	74.0	19.0	17.0	10.0	1089	0.0	0.0978607947125
CNAG_00002T0-3	5.46970560304	10.999321666	0	0	0	1	0	0	2	0	1.0	0.0	346.0	11.0	74.0	19.0	17.0	10.0	1089	0.0681868308497	0.39144317885
CNAG_00003T0-1	6.09751729752	10.9181929182	0	0	0	0	2	0	0	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0	0.0
CNAG_00003T0-10	7.19289105956	12.6331298331	0	0	0	0	1	0	3	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0	0.0898721584095
CNAG_00003T0-2	6.92692986026	12.8534527201	0	0	0	0	0	0	1	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0	0.00998579537883
CNAG_00003T0-3	5.4071360738	11.055704789	0	0	0	0	0	0	0	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0	0.0
CNAG_00003T0-4	5.36502509836	12.7498032831	0	0	0	3	1	0	0	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0724281169791	0.0
CNAG_00003T0-5	5.75818749152	12.6239044906	0	0	0	0	0	0	1	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0	0.00998579537883
CNAG_00003T0-6	5.22431149098	13.0296024963	0	0	0	2	0	0	1	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0321902742129	0.00998579537883
CNAG_00003T0-7	5.93124406458	10.9930267264	0	0	0	2	0	0	1	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0321902742129	0.00998579537883
CNAG_00003T0-8	5.55664088997	13.3828788495	0	0	0	2	0	0	0	0	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0321902742129	0.0
CNAG_00003T0-9	5.35162121829	10.4876407543	0	0	0	2	0	0	3	1	2.0	7.0	292.0	103.0	627.0	20.0	83.0	98.0	2397	0.0321902742129	0.0898721584095
CNAG_00004T0-1	5.75818749152	13.7222086555	0	0	0	0	3	0	4	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.0	0.0477369730305
CNAG_00004T0-10	4.89008275675	13.6119929453	0	0	0	1	0	0	1	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.00301603435916	0.00298356081441
CNAG_00004T0-2	5.44609957943	13.6544837878	0	0	0	6	1	0	4	1	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.10857723693	0.0477369730305
CNAG_00004T0-3	6.74605887939	13.9830687831	0	0	0	0	1	0	1	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.0	0.00298356081441
CNAG_00004T0-4	5.05076651743	13.0398046398	0	0	0	1	1	0	0	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.00301603435916	0.0
CNAG_00004T0-5	5.93124406458	10.9276353276	0	0	0	5	0	0	2	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.075400858979	0.0119342432576
CNAG_00004T0-6	6.92692986026	14.0762990096	0	0	0	3	0	0	3	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.0271443092325	0.0268520473297
CNAG_00004T0-7	6.67377560711	13.5526794193	0	0	0	1	2	0	1	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.00301603435916	0.00298356081441
CNAG_00004T0-8	4.93219373219	12.534364401	0	0	0	4	1	0	3	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.0482565497466	0.0268520473297
CNAG_00004T0-9	5.67711301045	13.2166056166	0	0	0	3	0	0	0	0	8.0	19.0	688.0	310.0	1673.0	58.0	267.0	328.0	3453	0.0271443092325	0.0
CNAG_00006T0-1	6.30443630444	10.8403744404	0	1	0	9	4	0	6	0	12.0	84.0	5051.0	493.0	2088.0	266.0	663.0	661.0	1609	0.195743229939	0.053297860963
CNAG_00006T0-2	5.90850630851	12.4801519468	0	1	0	11	3	0	7	1	12.0	84.0	5051.0	493.0	2088.0	266.0	663.0	661.0	1609	0.292406553366	0.0725443107551
CNAG_00006T0-3	5.22431149098	11.201953602	0	0	0	32	6	0	27	1	12.0	84.0	5051.0	493.0	2088.0	266.0	663.0	661.0	1609	2.47458107973	1.0792816845
CNAG_00006T0-4	6.63481210148	12.6787681454	0	0	0	21	3	0	19	0	12.0	84.0	5051.0	493.0	2088.0	266.0	663.0	661.0	1609	1.06571314078	0.534459105767
CNAG_00007T0-1	5.05076651743	13.7849409849	0	0	0	0	0	0	0	0	12.0	30.0	1951.0	261.0	1868.0	125.0	292.0	337.0	2290	0.0	0.0
CNAG_00007T0-2	5.8265635599	8.54299280966	0	0	0	1	1	0	2	0	12.0	30.0	1951.0	261.0	1868.0	125.0	292.0	337.0	2290	0.00270119137199	0.011615524595
CNAG_00007T0-3	5.97606837607	10.3568579569	0	0	0	2	1	0	1	0	12.0	30.0	1951.0	261.0	1868.0	125.0	292.0	337.0	2290	0.010804765488	0.00290388114874
CNAG_00007T0-4	6.26720933388	9.39867046534	0	0	0	1	0	0	3	1	12.0	30.0	1951.0	261.0	1868.0	125.0	292.0	337.0	2290	0.00270119137199	0.0261349303387
CNAG_00007T0-5	8.17967711301	12.244037444	0	0	0	3	1	0	2	0	12.0	30.0	1951.0	261.0	1868.0	125.0	292.0	337.0	2290	0.0243107223479	0.011615524595
CNAG_00008T0-1	5.67808981142	11.3258987926	0	0	0	2	0	0	0	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.00432653846335	0.0
CNAG_00008T0-10	5.35162121829	10.7363451363	0	0	0	7	2	0	3	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.053000096176	0.0108067135265
CNAG_00008T0-11	6.40553520554	10.9535205535	0	0	0	5	0	0	2	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.0270408653959	0.00480298378957
CNAG_00008T0-12	5.84875864876	12.8765160765	0	0	0	4	2	0	1	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.0173061538534	0.00120074594739
CNAG_00008T0-2	6.51336318003	13.6409171076	0	0	0	2	2	0	0	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.00432653846335	0.0
CNAG_00008T0-3	5.93124406458	8.29032695699	0	1	0	0	1	0	4	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.0	0.0192119351583
CNAG_00008T0-4	5.78032831366	12.8731515398	0	0	0	0	2	0	0	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.0	0.0
CNAG_00008T0-5	5.38499525166	11.7496133496	0	0	0	0	1	0	0	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.0	0.0
CNAG_00008T0-6	5.05076651743	12.922317189	0	0	0	6	0	0	4	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.0389388461701	0.0192119351583
CNAG_00008T0-7	6.4881291548	12.4907339574	0	0	0	3	3	0	5	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.00973471154253	0.0300186486848
CNAG_00008T0-8	6.42838149505	12.7272825939	0	0	0	1	0	0	2	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.00108163461584	0.00480298378957
CNAG_00008T0-9	6.03158323158	12.9049518383	0	0	0	1	0	0	0	0	13.0	74.0	2059.0	541.0	4665.0	123.0	525.0	815.0	4358	0.00108163461584	0.0
CNAG_00009T0-1	5.75818749152	13.5199023199	0	0	0	8	2	0	2	0	2.0	7.0	865.0	111.0	560.0	82.0	107.0	114.0	1774	0.576665769472	0.0343371209518
CNAG_00009T0-2	5.22431149098	11.2084113417	0	1	0	10	3	0	2	0	2.0	7.0	865.0	111.0	560.0	82.0	107.0	114.0	1774	0.9010402648	0.0343371209518
CNAG_00009T0-3	6.57245963913	11.056301723	0	0	0	0	0	0	0	0	2.0	7.0	865.0	111.0	560.0	82.0	107.0	114.0	1774	0.0	0.0
CNAG_00009T0-4	6.09133089133	12.5417989418	0	0	0	3	0	0	3	0	2.0	7.0	865.0	111.0	560.0	82.0	107.0	114.0	1774	0.081093623832	0.0772585221415
CNAG_00009T0-5	5.30538597205	13.1532220866	0	0	0	2	1	0	1	0	2.0	7.0	865.0	111.0	560.0	82.0	107.0	114.0	1774	0.036041610592	0.00858428023794
CNAG_00010T0-1	4.59796499796	12.9174331841	0	0	0	6	1	0	4	0	4.0	15.0	541.0	139.0	1019.0	64.0	99.0	137.0	4077	0.178262725597	0.114289979226
CNAG_00010T0-2	5.93124406458	8.90185863519	0	0	0	1	0	0	0	1	4.0	15.0	541.0	139.0	1019.0	64.0	99.0	137.0	4077	0.0049517423777	0.0
CNAG_00010T0-3	6.42583095916	11.5712929046	0	0	0	6	1	0	5	0	4.0	15.0	541.0	139.0	1019.0	64.0	99.0	137.0	4077	0.178262725597	0.178578092541
CNAG_00011T0-1	5.4071360738	12.5305114638	0	0	0	0	4	0	2	0	6.0	25.0	1554.0	224.0	1335.0	65.0	226.0	248.0	2039	0.0	0.0157839991472
CNAG_00011T0-2	6.30058336725	13.3389228056	0	0	0	0	2	0	3	0	6.0	25.0	1554.0	224.0	1335.0	65.0	226.0	248.0	2039	0.0	0.0355139980812
CNAG_00011T0-3	6.4660968661	13.4449057116	0	0	0	1	0	0	1	1	6.0	25.0	1554.0	224.0	1335.0	65.0	226.0	248.0	2039	0.00377964455646	0.0039459997868
CNAG_00011T0-4	5.44609957943	10.5778863112	0	0	0	0	1	0	0	0	6.0	25.0	1554.0	224.0	1335.0	65.0	226.0	248.0	2039	0.0	0.0
CNAG_00012T0-1	6.3826346493	12.8054809388	0	0	0	0	0	0	0	0	9.0	17.0	1650.0	241.0	1035.0	77.0	228.0	204.0	1660	0.0	0.0
CNAG_00012T0-2	5.8265635599	9.8835978836	0	0	0	9	2	0	3	0	9.0	17.0	1650.0	241.0	1035.0	77.0	228.0	204.0	1660	0.394890689964	0.0431738800202
CNAG_00012T0-3	7.17964997965	10.9998100665	0	0	0	3	2	0	2	0	9.0	17.0	1650.0	241.0	1035.0	77.0	228.0	204.0	1660	0.0438767433294	0.0191883911201
CNAG_00013T0-1	7.13482566816	11.7631257631	0	0	0	4	0	0	5	1	20.0	29.0	2355.0	661.0	4014.0	133.0	845.0	1024.0	2647	0.0201129067579	0.0238917955841
CNAG_00014T0-1	6.05128205128	13.6113417447	0	0	0	11	11	0	6	3	10.0	27.0	449.0	570.0	2948.0	40.0	688.0	794.0	2930	0.207104777282	0.0443701336228
CNAG_00014T0-2	5.8265635599	9.74407814408	0	0	0	4	4	0	5	2	10.0	27.0	449.0	570.0	2948.0	40.0	688.0	794.0	2930	0.0273857556737	0.0308125927936
CNAG_00014T0-3	5.80442273776	8.67290733957	0	0	0	3	0	0	4	2	10.0	27.0	449.0	570.0	2948.0	40.0	688.0	794.0	2930	0.0154044875665	0.0197200593879
CNAG_00016T0-1	5.69925383259	13.4112060779	0	0	0	4	2	0	5	0	7.0	12.0	1774.0	417.0	1685.0	152.0	316.0	302.0	1328	0.0479128829235	0.0810105916495
CNAG_00016T0-2	6.37775064442	11.591642925	0	1	1	123	20	0	42	3	7.0	12.0	1774.0	417.0	1685.0	152.0	316.0	302.0	1328	45.3046253593	5.71610734679
CNAG_00017T0-1	5.22431149098	11.7150454484	0	0	0	4	1	0	1	0	2.0	1.0	323.0	45.0	336.0	24.0	49.0	64.0	3264	0.240277403947	0.0152907491738
CNAG_00017T0-2	6.03158323158	12.8838963506	0	0	0	4	0	0	1	0	2.0	1.0	323.0	45.0	336.0	24.0	49.0	64.0	3264	0.240277403947	0.0152907491738
CNAG_00017T0-3	5.61638854972	11.3683353683	0	0	0	2	1	0	1	0	2.0	1.0	323.0	45.0	336.0	24.0	49.0	64.0	3264	0.0600693509866	0.0152907491738
CNAG_00018T0-1	7.25828245828	12.6671550672	0	0	0	2	0	0	0	0	6.0	25.0	2085.0	109.0	690.0	151.0	94.0	115.0	2829	0.0292511622196	0.0
CNAG_00018T0-2	6.59270112603	13.0351377018	0	0	0	3	0	0	2	0	6.0	25.0	2085.0	109.0	690.0	151.0	94.0	115.0	2829	0.0658151149941	0.0340385372913
CNAG_00018T0-3	5.51181657848	13.5054673721	0	0	0	3	0	0	1	0	6.0	25.0	2085.0	109.0	690.0	151.0	94.0	115.0	2829	0.0658151149941	0.00850963432283
CNAG_00019T0-1	5.8908696242	12.5347985348	0	0	0	6	5	0	5	0	7.0	16.0	2305.0	113.0	481.0	258.0	91.0	79.0	761	0.377650140091	0.309686059217
CNAG_00020T0-1	6.06919006919	10.9156423823	0	0	0	1	2	0	1	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.0012898326899	0.00142654219698
CNAG_00020T0-2	6.19601139601	12.6095238095	0	0	0	3	0	0	4	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.0116084942091	0.0228246751516
CNAG_00020T0-3	6.30156016823	13.3522724189	0	0	0	6	1	0	4	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.0464339768363	0.0228246751516
CNAG_00020T0-4	6.00944240944	13.4762176096	0	0	0	7	0	0	2	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.063201801805	0.0057061687879
CNAG_00020T0-5	5.92983312983	12.9017501018	0	1	0	113	9	1	43	2	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	16.4698736173	2.63767652221
CNAG_00020T0-6	7.25828245828	12.9985076652	0	0	0	0	1	0	0	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.0	0.0
CNAG_00020T0-7	7.25828245828	13.2213268213	0	0	0	6	1	0	5	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.0464339768363	0.0356635549244
CNAG_00020T0-8	6.22097408764	13.764699498	0	0	0	2	0	0	1	0	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	0.00515933075959	0.00142654219698
CNAG_00020T0-9	5.97606837607	11.2021706688	0	2	1	110	7	0	80	5	14.0	60.0	3316.0	643.0	3912.0	206.0	523.0	686.0	3910	15.6069755478	9.12987006064
CNAG_00021T0-1	6.76261022928	10.6029575363	0	0	0	2	0	0	0	0	3.0	13.0	906.0	42.0	343.0	76.0	40.0	57.0	2054	0.0588434458645	0.0
CNAG_00023T0-1	5.22431149098	12.5709944377	0	0	0	1	0	0	0	0	1.0	3.0	201.0	30.0	217.0	4.0	34.0	47.0	1712	0.0232526519948	0.0
CNAG_00024T0-1	5.05076651743	13.1735178402	0	0	1	131	40	0	62	7	43.0	211.0	8385.0	1288.0	7239.0	830.0	1362.0	1602.0	4213	11.9617918375	2.34817037999
CNAG_00024T0-2	5.90850630851	10.9467914801	0	0	0	88	29	0	70	10	43.0	211.0	8385.0	1288.0	7239.0	830.0	1362.0	1602.0	4213	5.39782739873	2.99324528147
CNAG_00024T0-3	7.63532763533	10.8401573735	0	0	0	6	2	0	3	0	43.0	211.0	8385.0	1288.0	7239.0	830.0	1362.0	1602.0	4213	0.0250932058825	0.00549779745576
CNAG_00025T0-1	6.98830552164	10.9464116131	0	0	0	1	3	0	5	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.00199834672589	0.0516143432028
CNAG_00025T0-2	5.67711301045	13.4241215575	0	0	0	5	1	0	1	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.0499586681473	0.00206457372811
CNAG_00025T0-3	4.93219373219	10.4867182201	0	0	0	6	0	0	5	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.0719404821321	0.0516143432028
CNAG_00025T0-4	6.63090489757	12.4064577398	0	0	0	1	0	0	0	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.00199834672589	0.0
CNAG_00025T0-5	6.59270112603	11.041703975	0	0	0	8	0	0	4	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.127894190457	0.0330331796498
CNAG_00025T0-6	5.80393433727	10.7699905033	0	0	0	3	0	0	3	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.017985120533	0.018581163553
CNAG_00025T0-7	6.44238230905	13.0489214489	0	0	0	3	0	0	1	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.017985120533	0.00206457372811
CNAG_00025T0-8	6.80059693393	11.3254103921	0	0	0	4	0	0	3	0	17.0	45.0	3949.0	474.0	2525.0	299.0	541.0	474.0	3724	0.0319735476143	0.018581163553
CNAG_00026T0-1	7.00800434134	11.0034459368	1	0	0	2	0	0	1	1	13.0	29.0	2415.0	378.0	2818.0	249.0	305.0	399.0	2110	0.00716227889692	0.00245265149655
CNAG_00026T0-2	5.17758784425	12.6027947361	0	0	0	1	1	0	2	0	13.0	29.0	2415.0	378.0	2818.0	249.0	305.0	399.0	2110	0.00179056972423	0.00981060598622
CNAG_00026T0-3	5.30538597205	12.8901370235	0	0	0	4	1	0	0	0	13.0	29.0	2415.0	378.0	2818.0	249.0	305.0	399.0	2110	0.0286491155877	0.0
CNAG_00026T0-4	5.22431149098	13.5793243793	0	0	0	3	0	0	2	0	13.0	29.0	2415.0	378.0	2818.0	249.0	305.0	399.0	2110	0.0161151275181	0.00981060598622
CNAG_00026T0-5	5.6036358703	12.3337946005	0	0	0	5	2	0	5	0	13.0	29.0	2415.0	378.0	2818.0	249.0	305.0	399.0	2110	0.0447642431057	0.0613162874139
CNAG_00027T0-1	7.25828245828	11.6723918057	0	0	0	4	1	0	2	0	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.0373591891375	0.011313386672
CNAG_00027T0-2	5.61638854972	12.4659340659	0	1	0	2	0	0	2	0	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.00933979728436	0.011313386672
CNAG_00027T0-3	4.93219373219	10.4040700041	0	0	0	1	2	0	1	0	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.00233494932109	0.00282834666799
CNAG_00027T0-4	6.42300908968	13.7495048162	0	0	0	1	1	0	1	0	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.00233494932109	0.00282834666799
CNAG_00027T0-5	6.70394790395	12.9056573057	0	0	0	1	1	0	2	1	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.00233494932109	0.011313386672
CNAG_00027T0-6	5.84875864876	11.9233211233	0	0	0	6	1	0	2	0	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.0840581755593	0.011313386672
CNAG_00027T0-7	7.25828245828	12.25668159	0	0	0	2	0	0	4	0	4.0	30.0	1026.0	265.0	2161.0	69.0	238.0	346.0	3902	0.00933979728436	0.0452535466879
CNAG_00028T0-1	6.74605887939	11.5334690001	0	0	0	0	0	0	0	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.0	0.0
CNAG_00028T0-2	6.46452313119	12.487315154	0	0	0	1	0	0	0	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.00226676796176	0.0
CNAG_00028T0-3	4.93219373219	13.2032017365	0	0	0	1	0	0	1	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.00226676796176	0.00282019581304
CNAG_00028T0-4	5.35162121829	10.4877492877	0	0	0	0	1	0	0	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.0	0.0
CNAG_00028T0-5	7.61779948447	11.144376611	0	0	0	1	0	0	2	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.00226676796176	0.0112807832522
CNAG_00028T0-6	5.46970560304	13.563044363	0	0	0	1	0	0	1	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.00226676796176	0.00282019581304
CNAG_00028T0-7	4.89008275675	13.072636006	0	0	0	5	1	0	3	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.056669199044	0.0253817623174
CNAG_00028T0-8	6.9490706824	10.7380816714	0	0	0	1	0	0	1	0	4.0	18.0	489.0	284.0	2226.0	44.0	251.0	347.0	2466	0.00226676796176	0.00282019581304
CNAG_00029T0-1	5.38499525166	11.9601139601	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1508	0.0	0.0
CNAG_00029T0-2	5.80393433727	10.540984941	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1508	0.0	0.0
CNAG_00029T0-3	5.30538597205	13.1715642382	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1508	0.0	0.0
CNAG_00030T0-1	7.09244335911	12.4107990775	0	0	0	0	0	0	0	0	1.0	1.0	133.0	19.0	71.0	11.0	15.0	13.0	1424	0.0	0.0
CNAG_00030T0-2	5.22431149098	12.6258038258	0	0	0	0	0	0	0	0	1.0	1.0	133.0	19.0	71.0	11.0	15.0	13.0	1424	0.0	0.0
CNAG_00030T0-3	8.58499525166	13.8860941528	0	0	0	1	0	0	0	0	1.0	1.0	133.0	19.0	71.0	11.0	15.0	13.0	1424	0.0710679645476	0.0
CNAG_00030T0-4	6.83831230498	11.8468050468	0	0	0	0	0	0	0	0	1.0	1.0	133.0	19.0	71.0	11.0	15.0	13.0	1424	0.0	0.0
CNAG_00031T0-1	5.78032831366	13.7720255054	0	0	0	1	0	0	2	0	3.0	6.0	539.0	86.0	660.0	44.0	74.0	87.0	3712	0.00764519012557	0.0449934688334
