	Transcript	150904CM018-A_x	150904CM018-B_x	150904CM018-W_x	150904CM763-A_x	150904CM763-B_x	150904CM763-W_x	150904CM764-A_x	150904CM764-B_x	150904CM764-W_x	Intron	150904CM018-A_y	150904CM018-B_y	150904CM018-W_y	150904CM763-A_y	150904CM763-B_y	150904CM763-W_y	150904CM764-A_y	150904CM764-B_y	150904CM764-W_y	Length	150904CM763-B_x_norm	150904CM764-B_x_norm
1	CNAG_00002T0	1	0.0	346	11	74	19.0	17.0	10.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1089	inf	inf
1	CNAG_00002T0	1	0.0	346	11	74	19.0	17.0	10.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1089	inf	inf
1	CNAG_00002T0	1	0.0	346	11	74	19.0	17.0	10.0	5.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1089	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	4.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	2397	inf	inf
2	CNAG_00003T0	2	7.0	292	103	627	20.0	83.0	98.0	5.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	2397	inf	inf
