Chromosome	Telomere Side	Telomere Start	Telomere End	Telomere Length	Chrom Average Coverage	Telomere Average Coverage	Telomere Total No. Reads	Length of Centromere	No. of Reads in Centromere	Average Coverage of Centromere	
I	5'	0	10351	10352	59.6333945788	110.457790358	22781	35734	41331	57.8314770247	
I	3'	5577341	5579133	1793	59.6333945788	67.012015067	2633				
AB325691			51314		59.6333945788						
MTR			40884		59.6333945788						
II	5'	0	1154	1155	59.6333945788	56.7324012132	1469	42483	56628	66.6478356048	
II	3'	4522150	4539804	17655	59.6333945788	102.502834655	35671				
MT			19431		59.6333945788						
III	5'	0	747	748	59.6333945788	59.763394913	1129	66099	110742	83.7697998457	
III	3'	2452091	2452883	793	59.6333945788	58.7898901515	1156				
Telomere-ness: 1304461.01013	Centromere-ness: 1828997.02797	Total Reads: 14830229	
dh region	Start	End	Length	DH Coverage	# Reads above background	
III.1	1107933	1109897	1964	59.1904276986	-17.3997390551	
I.4	3788242	3788981	739	146.414073072	1282.61842813	
I.1	3754127	3758082	3955	72.6927939317	1032.99848882	
I.2	3784192	3786038	1846	49.8645720477	-360.664927849	
I.3	3786091	3787488	1397	66.8575518969	201.842955468	
III.4	1110641	1111378	737	158.073270014	1451.00376391	
III.2	1089048	1090433	1385	68.4837545126	245.154970167	
II.4	1634938	1636308	1370	70.4379562044	296.044988541	
III.3	1087567	1088304	737	178.222523745	1748.00376391	
II.1	1613024	1614852	1828	51.9693654267	-280.196905801	
II.2	1633030	1634858	1828	49.0153172867	-388.196905801	
II.3	1611574	1612947	1373	72.2141296431	345.466984866	
dg region	Start	End	Length	DG Coverage	# Reads above background	
III.10	1128372	1129898	1526	119.855832241	1837.98879746	
III.8	1114852	1116378	1526	120.969855832	1871.98879746	
III.9	1121612	1123138	1526	123.75491481	1956.98879746	
III.4	1132719	1138073	5354	96.3018304072	3926.4561085	
III.5	1112439	1114793	2354	85.2803738318	1207.45978323	
III.6	1119199	1121553	2354	84.834324554	1186.45978323	
III.7	1125959	1128313	2354	84.6431605777	1177.45978323	
III.1	1074053	1077875	3822	111.237571952	3944.6233184	
III.2	1080694	1083347	2653	115.963060686	2988.85208365	
I.1	3759165	3763095	3930	99.9236641221	3166.81518611	
I.2	3779179	3783109	3930	95.2417302799	2798.81518611	
III.3	1084154	1086508	2354	88.1478334749	1342.45978323	
II.1	1605194	1609031	3837	109.695074277	3841.73330002	
II.2	1638851	1642688	3837	102.462861611	3286.73330002	
