Chromosome	Telomere Side	Telomere Start	Telomere End	Telomere Length	Chrom Average Coverage	Telomere Average Coverage	Telomere Total No. Reads	Length of Centromere	No. of Reads in Centromere	Average Coverage of Centromere	
I	5'	0	61394	61395	43.5518362918	545.502503192	660763	35734	653083	913.8117759	
I	3'	5482238	5579133	96896	43.5518362918	453.548622509	864874				
AB325691			51314		43.5518362918						
MTR			40884		43.5518362918						
II	5'	0	37068	37069	43.5518362918	213.245804953	155720	42483	886838	1043.75632606	
II	3'	4468945	4539804	70860	43.5518362918	581.301926587	808347				
MT			19431		43.5518362918						
III	5'	0	24991	24992	43.5518362918	781.211987916	384902	66099	1919480	1451.97355482	
III	3'	2439123	2452883	13761	43.5518362918	690.760881831	188292				
Telomere-ness: 139863027.142	Centromere-ness: 166684823.194	Total Reads: 16946808	
dh region	Start	End	Length	DH Coverage	# Reads above background	
III.1	1107933	1109897	1964	1087.67820774	41013.2838705	
I.4	3788242	3788981	739	2178.68741543	31557.3038596	
I.1	3754127	3758082	3955	1159.3426043	88259.0497493	
I.2	3784192	3786038	1846	661.728060672	22823.0662041	
I.3	3786091	3787488	1397	1366.46385111	36962.161694	
III.4	1110641	1111378	737	2439.4843962	35316.0459331	
III.2	1089048	1090433	1385	1345.19855596	36055.6141347	
II.4	1634938	1636308	1370	1322.59124088	35045.6796856	
III.3	1087567	1088304	737	2676.52645862	38810.0459331	
II.1	1613024	1614852	1828	694.064551422	23782.7448652	
II.2	1633030	1634858	1828	663.812910284	22676.7448652	
II.3	1611574	1612947	1373	1361.43481428	36189.0665754	
dg region	Start	End	Length	DG Coverage	# Reads above background	
III.10	1128372	1129898	1526	2026.44167759	60517.7979564	
III.8	1114852	1116378	1526	2027.78505898	60558.7979564	
III.9	1121612	1123138	1526	2017.23460026	60236.7979564	
III.4	1132719	1138073	5354	1728.18453493	180390.46937	
III.5	1112439	1114793	2354	1736.08751062	79684.5795474	
III.6	1119199	1121553	2354	1742.84197111	80002.5795474	
III.7	1125959	1128313	2354	1724.7451147	79150.5795474	
III.1	1074053	1077875	3822	2010.33490319	150340.897634	
III.2	1080694	1083347	2653	2043.44138711	106114.139566	
I.1	3759165	3763095	3930	1656.98473282	126815.825667	
I.2	3779179	3783109	3930	1698.7913486	130101.825667	
III.3	1084154	1086508	2354	1791.10025489	82274.5795474	
II.1	1605194	1609031	3837	1964.5295804	147415.832083	
II.2	1638851	1642688	3837	1829.85405265	137080.832083	
