transcript	chromosomepeak type coordinate	peak size
CNAG_00483T0	Allknown 5' site	1242540	177
CNAG_00483T0	Allknown 5' site	1243079	138
CNAG_00483T0	Allknown 5' site	1243212	42
CNAG_00483T0	Allknown 5' site	1243325	38
CNAG_00483T0	Allknown 5' site	1244135	33
CNAG_00483T0	Allknown 5' site	1244327	79
CNAG_00483T0	Allknown 3' site	1243046	121
CNAG_00483T0	Allknown 3' site	1243130	29
CNAG_00483T0	Allknown 3' site	1243256	23
CNAG_00483T0	Allknown 3' site	1243371	20
CNAG_00483T0	Allknown 3' site	1244186	72
CNAG_00483T0	Allknown 3' site	1244378	110
CNAG_00483T0	Allunknown site	1242598	10
CNAG_00483T0	Allunknown site	1242607	46
CNAG_00483T0	Allunknown site	1242631	10
CNAG_00483T0	Allunknown site	1242641	48
CNAG_00483T0	Allunknown site	1242668	23
CNAG_00483T0	Allunknown site	1242687	11
CNAG_00483T0	Allunknown site	1242773	11
CNAG_00483T0	Allunknown site	1242833	56
CNAG_00483T0	Allunknown site	1242841	15
CNAG_00483T0	Allunknown site	1242875	52
CNAG_00483T0	Allunknown site	1242906	14
CNAG_00483T0	Allunknown site	1242977	12
CNAG_00483T0	Allunknown site	1243186	12
CNAG_00483T0	Allunknown site	1243574	14
CNAG_00483T0	Allunknown site	1243647	10
CNAG_00483T0	Allunknown site	1244050	10
CNAG_00483T0	Allunknown site	1244228	31
CNAG_00483T0	Allunknown site	1244493	22
CNAG_00483T0	Allunknown site	1244617	10
CNAG_00483T0	Allunknown site	1244623	12
CNAG_00483T0	Allunknown site	1244076	14
CNAG_00483T0	Allunknown site	1243311	24
CNAG_00483T0	Allunknown site	1243775	37
CNAG_00483T0	Allunknown site	1242577	21
CNAG_00483T0	Allunknown site	1242688	122
CNAG_00483T0	Allunknown site	1242788	17
CNAG_00483T0	Allunknown site	1242924	82
CNAG_00483T0	Allunknown site	1243174	30
CNAG_00483T0	Allunknown site	1243392	19
CNAG_05698T0	Allknown 5' site	645648	28
CNAG_05698T0	Allknown 5' site	645823	26
CNAG_05698T0	Allknown 5' site	646016	67
CNAG_05698T0	Allknown 5' site	646356	155
CNAG_05698T0	Allknown 5' site	646474	470
CNAG_05698T0	Allknown 3' site	645943	87
CNAG_05698T0	Allknown 3' site	646388	201
CNAG_05698T0	Allunknown site	645573	32
CNAG_05698T0	Allunknown site	646292	31
CNAG_05698T0	Allunknown site	646342	36
CNAG_05698T0	Allunknown site	645027	36
CNAG_05698T0	Allunknown site	646115	81
CNAG_05698T0	Allunknown site	645693	27
CNAG_05698T0	Allunknown site	646187	46
CNAG_05698T0	Allunknown site	646400	32
CNAG_05698T0	Allunknown site	645115	29
CNAG_06699T0	Allknown 5' site	523916	578
CNAG_06699T0	Allknown 5' site	524045	519
CNAG_06699T0	Allknown 5' site	524144	349
CNAG_06699T0	Allknown 5' site	524220	365
CNAG_06699T0	Allknown 5' site	524299	820
CNAG_06699T0	Allknown 5' site	524591	605
CNAG_06699T0	Allknown 5' site	524765	637
CNAG_06699T0	Allknown 5' site	524906	496
CNAG_06699T0	Allknown 5' site	525031	485
CNAG_06699T0	Allknown 5' site	525259	434
CNAG_06699T0	Allknown 5' site	525427	323
CNAG_06699T0	Allknown 3' site	524020	329
CNAG_06699T0	Allknown 3' site	524099	154
CNAG_06699T0	Allknown 3' site	524195	61
CNAG_06699T0	Allknown 3' site	524275	222
CNAG_06699T0	Allknown 3' site	524355	213
CNAG_06699T0	Allknown 3' site	524653	99
CNAG_06699T0	Allknown 3' site	524827	209
CNAG_06699T0	Allknown 3' site	524966	262
CNAG_06699T0	Allknown 3' site	525077	155
CNAG_06699T0	Allknown 3' site	525312	90
CNAG_06699T0	Allknown 3' site	525482	103
CNAG_06699T0	Allunknown site	525332	46
CNAG_06699T0	Allunknown site	525578	57
CNAG_06699T0	Allunknown site	523951	79
CNAG_06699T0	Allunknown site	524388	84
CNAG_06699T0	Allunknown site	524407	48
CNAG_06699T0	Allunknown site	524422	44
CNAG_06699T0	Allunknown site	524500	53
CNAG_06699T0	Allunknown site	524523	111
CNAG_06699T0	Allunknown site	524541	62
CNAG_06699T0	Allunknown site	524563	81
CNAG_06699T0	Allunknown site	524698	50
CNAG_06699T0	Allunknown site	524709	168
CNAG_06699T0	Allunknown site	525108	133
CNAG_06699T0	Allunknown site	525119	45
CNAG_06699T0	Allunknown site	525151	62
CNAG_06699T0	Allunknown site	525207	96
CNAG_06699T0	Allunknown site	525243	54
CNAG_06699T0	Allunknown site	525321	49
CNAG_06699T0	Allunknown site	525340	59
CNAG_06699T0	Allunknown site	525394	128
CNAG_06699T0	Allunknown site	525542	111
CNAG_06699T0	Allunknown site	525624	51
CNAG_06699T0	Allunknown site	523759	118
CNAG_06699T0	Allunknown site	523819	101
CNAG_06699T0	Allunknown site	523975	52
CNAG_06699T0	Allunknown site	524061	221
CNAG_06699T0	Allunknown site	524150	96
CNAG_06699T0	Allunknown site	524254	111
CNAG_06699T0	Allunknown site	524310	107
CNAG_06699T0	Allunknown site	524364	96
CNAG_06699T0	Allunknown site	523900	43
