Accession	Previous Gene Name?	Newer Gene Name?	Known Gene Name	SacCer Ortholog Gene Name	SacCer Ortholog Gene Description	Gene known not to be involved in virulence	Gene involved in melanin production	Gene involved in capsule production	Gene with increased virulence in KO	Other Virulence Phenotype	Annotated as Txn Factor?	Gene found in DMEM screen	Hiten's Annotation	CH Annotation	Blast Results	Counts MSTEST-1A	Counts MSTEST-1B	Counts MSTEST-4-6A	Counts MSTEST-4-6B	Coverage MSTEST-1A	Coverage MSTEST-1B	Coverage MSTEST-4-6A	Coverage MSTEST-4-6B	Ratio of average counts from MSTEST-4-6/MSTEST-1	
CNAG_06626T0			NO			NO					NO	YES	pre-mRNA splicing factor    PF00271.23 Helicase_C PF04408.15 HA2 PF07717.8 DUF1605		PREDICTED: Chrysemys picta bellii DEAH (Asp-Glu-Ala-His) box helicase 15 (DHX15), mRNA; PREDICTED: Chinchilla lanigera DEAH (Asp-Glu-Ala-His) box helicase 15 (Dhx15), mRNA; PREDICTED: Cavia porcellus DEAH (Asp-Glu-Ala-His) box helicase 15 (Dhx15), mRNA	238	266	424	500	66.30%	84.70%	62.00%	72.80%	1.83333333333	
CNAG_01148T0			NO	YLR449W,YML074C	FKBP Proline Rotamase (isomerase), "Peptidyl-prolyl cis-trans isomerase (PPIase) (proline isomerase) localized to the nucleus; catalyzes isomerization of proline residues in histones H3 and H4,Fk 506-sensitive Proline Rotamase, Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p	NO					NO	YES	FPR3 Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p	FPR3(Peptidyl-prolyl cis-trans isomerase (PPIase); ER stress-responsive protein; transcript stabilized in ccr4 mutant)	Acyrthosiphon pisum peptidyl-prolyl cis-trans isomerase FKBP1A-like (LOC100168864), mRNA; PREDICTED: Bos taurus trinucleotide repeat containing 18 (TNRC18), transcript variant X5, mRNA; PREDICTED: Bos taurus trinucleotide repeat containing 18 (TNRC18), transcript variant X4, mRNA	44	224	329	316	31.80%	39.60%	77.90%	68.10%	2.40671641791	
CNAG_01117T0			NO			NO					NO	YES	elongation factor 3    PF00005.19 ABC_tran PF00385.16 Chromo PF02985.14 HEAT	EF3(Elongation factor 3)	Leptosphaeria maculans JN3 similar to elongation factor 3 (LEMA_P041410.1) mRNA, complete cds; Leptosphaeria maculans JN3 SuperContig_4_v2 >gi; Mycosphaerella graminicola IPO323 mRNA export factor (MYCGRDRAFT_197427) mRNA, complete cds	24	206	213	398	21.30%	52.80%	43.00%	46.70%	2.65652173913	
CNAG_01152T0			NO	YBR181C,YPL090C	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6	NO					NO	YES	RPS6A Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; RPS6A has a paralog, RPS6B, that arose from the whole genome duplication		Platynereis dumerilii EST IB0AAA37CB10EM1; Platynereis dumerilii EST IB0AAA20BE05FM1; Platynereis dumerilii EST IB0AAA36DA11FM1	84	134	282	321	54.00%	68.40%	59.70%	63.10%	2.76605504587	
CNAG_05555T0			NO	YHL033C,YLL045C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L8A; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L8B; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A	NO					NO	YES	RPL8B Ribosomal 60S subunit protein L8B; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication		Mus musculus ribosomal protein L7A, pseudogene 1 (Rpl7a-ps1) on chromosome 12; Pyrenophora tritici-repentis Pt-1C-BFP 60S ribosomal protein L8, partial mRNA; Glycine max 60S ribosomal protein L7a-like (LOC100797399), mRNA	44	132	295	292	33.80%	68.40%	73.20%	63.40%	3.33522727273	
CNAG_05232T0			NO			NO					NO	YES	ribosomal protein L8    PF00181.15 Ribosomal_L2 PF03947.10 Ribosomal_L2_C		Monosiga brevicollis isolate TOA23 ribosomal protein 8 large subunit mRNA, partial cds; Pristionchus pauli large subunit ribosomal protein 2 (rpl-2) mRNA, complete cds; Pristionchus sp. 3 EJR-2013 strain RS5460 large subunit ribosomal protein 2 (rpl2) gene, partial cds	69	91	273	298	51.40%	70.20%	62.90%	63.30%	3.56875	
CNAG_06468T0			NO	YPL093W	NucleOlar G-protein, Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins	NO					NO	YES	NOG1 Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins		Anopheles gambiae partial ENSANGG00000018976 gene, exon 3, isolate S4; Anopheles arabiensis partial ENSANGG00000018976 gene, exon 3, isolate Ara7; Anopheles gambiae partial ENSANGG00000018976 gene, exon 3, isolate S8	42	105	137	249	15.80%	43.20%	55.20%	63.30%	2.62585034014	
CNAG_02100T0			NO			NO					NO	YES	fatty-acid synthase complex protein    PF01648.12 ACPS PF02801.14 Ketoacyl-synt_C	FAS2(Fatty acid synthase complex protein)	Aspergillus oryzae RIB40 3-oxoacyl-[acyl-carrier-protein] synthase, mRNA; Aspergillus flavus NRRL3357 fatty acid synthase alpha subunit FasA, mRNA; Aspergillus oryzae RIB40 DNA, SC124	59	86	158	213	18.60%	26.80%	60.50%	65.60%	2.55862068966	
CNAG_06605T0			NO	YGL123W	Ribosomal Protein of the Small subunit, Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5	NO					NO	YES	RPS2 Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5		PREDICTED: Oryctolagus cuniculus ribosomal protein S2-like (LOC100352445), partial miscRNA; GGU48359 Gallus gallus kinesin light chain mRNA, complete cds; PREDICTED: Pongo abelii 40S ribosomal protein S2-like, transcript variant 1 (LOC100462006), mRNA	55	78	136	208	44.90%	65.20%	57.50%	59.30%	2.58646616541	
CNAG_01750T0			NO			NO					NO	YES	chaperone    PF00012.12 HSP70 PF09373.2 PMBR		Monopterus albus heat shock 70kDa protein 8a1 (hspa8a1) mRNA, complete cds; PREDICTED: Macaca mulatta heat shock 70kDa protein 1B (HSPA1B), partial mRNA; Drosophila melanogaster strain ZH18 heat-shock protein 70 (Hsc70-4) gene, partial sequence	49	72	107	208	33.80%	46.00%	33.60%	37.80%	2.60330578512	
