Chromosome	Telomere Side	Telomere Start	Telomere End	Telomere Length	Chrom Average Coverage	Telomere Average Coverage	Telomere Total No. Reads	Length of Centromere	No. of Reads in Centromere	Average Coverage of Centromere	
I	5'	0	9588	9589	37.2013273809	103.892846996	19789	35734	24132	33.7661610791	
I	3'	5577372	5579133	1762	37.2013273809	49.72960477	2057				
AB325691			51314		37.2013273809						
MTR			40884		37.2013273809						
II	5'	0	4661	4662	37.2013273809	32.2958182793	3038	42483	38493	45.3040039545	
II	3'	4533457	4539804	6348	37.2013273809	36.0796196628	4480				
MT			19431		37.2013273809						
III	5'	0	1348	1349	37.2013273809	67.506060089	2161	66099	62618	47.3668285451	
III	3'	2451850	2452883	1034	37.2013273809	62.5807153921	1559				
Telomere-ness: 733913.563251	Centromere-ness: 893403.237696	Total Reads: 9238339	
dh region	Start	End	Length	DH Coverage	# Reads above background	
III.1	1107933	1109897	1964	38.0091649695	31.7318604777	
I.4	3788242	3788981	739	115.155615697	1152.16438131	
I.1	3754127	3758082	3955	48.2048040455	870.37500417	
I.2	3784192	3786038	1846	23.83531961	-493.473006903	
I.3	3786091	3787488	1397	54.2949176807	477.594912977	
III.4	1110641	1111378	737	117.36770692	1181.65243441	
III.2	1089048	1090433	1385	47.5812274368	287.523231549	
II.4	1634938	1636308	1370	52.8102189781	427.683629763	
III.3	1087567	1088304	737	126.390773406	1314.65243441	
II.1	1613024	1614852	1828	24.6717724289	-458.080529046	
II.2	1633030	1634858	1828	24.0700218818	-480.080529046	
II.3	1611574	1612947	1373	55.7538237436	509.45155012	
dg region	Start	End	Length	DG Coverage	# Reads above background	
III.10	1128372	1129898	1526	77.2608125819	1222.61548833	
III.8	1114852	1116378	1526	75.3276539974	1163.61548833	
III.9	1121612	1123138	1526	73.623853211	1111.61548833	
III.4	1132719	1138073	5354	50.7657825925	1452.48186405	
III.5	1112439	1114793	2354	40.3355989805	147.561506907	
III.6	1119199	1121553	2354	38.2965165675	51.5615069066	
III.7	1125959	1128313	2354	39.1673746814	92.5615069066	
III.1	1074053	1077875	3822	59.4583987441	1701.330535	
III.2	1080694	1083347	2653	65.4353562005	1498.09756917	
I.1	3759165	3763095	3930	52.8498727735	1229.97566786	
I.2	3779179	3783109	3930	52.6972010178	1217.97566786	
III.3	1084154	1086508	2354	41.1427357689	185.561506907	
II.1	1605194	1609031	3837	62.95282773	1976.17013679	
II.2	1638851	1642688	3837	59.7602293458	1731.17013679	
