	Transcrip	150904CM018-B	150904CM018-W	150904CM763-B	150904CM763-W	150904CM764-B	Length	150904CM018-B_norm	150904CM018-B_norm_untagged	150904CM763-B_norm	150904CM763-B_norm_untagged
2	CNAG_00003T0	6	261.0	592.0	15.0	94.0	2397	0.00383141762452	0.000638569604087	0.0666666666667	0.0111111111111
3	CNAG_00004T0	15	578.0	1415.0	50.0	281.0	3453	0.00173010380623	0.000115340253749	0.02	0.00133333333333
4	CNAG_00005T0	10	521.0	575.0	39.0	132.0	2410	0.00191938579655	0.000191938579655	0.025641025641	0.0025641025641
5	CNAG_00006T0	82	4784.0	2048.0	254.0	651.0	1609	0.000209030100334	2.54914756505e-06	0.00393700787402	4.80122911465e-05
6	CNAG_00007T0	29	1776.0	1787.0	115.0	313.0	2290	0.000563063063063	1.94159676918e-05	0.00869565217391	0.000299850074963
7	CNAG_00008T0	73	1963.0	4617.0	120.0	808.0	4358	0.000509424350484	6.97841576005e-06	0.00833333333333	0.000114155251142
8	CNAG_00009T0	6	546.0	514.0	53.0	106.0	1774	0.0018315018315	0.00030525030525	0.0188679245283	0.00314465408805
9	CNAG_00010T0	13	411.0	915.0	54.0	120.0	4077	0.00243309002433	0.000187160771102	0.0185185185185	0.0014245014245
10	CNAG_00011T0	24	1265.0	1204.0	50.0	236.0	2039	0.000790513833992	3.29380764163e-05	0.02	0.000833333333333
11	CNAG_00012T0	16	1463.0	970.0	66.0	198.0	1660	0.000683526999316	4.27204374573e-05	0.0151515151515	0.00094696969697
12	CNAG_00013T0	12	1085.0	1121.0	41.0	299.0	2647	0.000921658986175	7.68049155146e-05	0.0243902439024	0.0020325203252
13	CNAG_00013T1	12	1085.0	1121.0	41.0	299.0	2647	0.000921658986175	7.68049155146e-05	0.0243902439024	0.0020325203252
14	CNAG_00013T2	12	1085.0	1121.0	41.0	299.0	2647	0.000921658986175	7.68049155146e-05	0.0243902439024	0.0020325203252
15	CNAG_00014T0	22	390.0	2551.0	37.0	698.0	2930	0.0025641025641	0.00011655011655	0.027027027027	0.0012285012285
16	CNAG_00015T0	1	109.0	130.0	7.0	24.0	1352	0.00917431192661	0.00917431192661	0.142857142857	0.142857142857
17	CNAG_00016T0	6	507.0	1110.0	56.0	195.0	1328	0.00197238658777	0.000328731097962	0.0178571428571	0.00297619047619
18	CNAG_00017T0	1	222.0	293.0	16.0	59.0	3264	0.0045045045045	0.0045045045045	0.0625	0.0625
19	CNAG_00018T0	20	1324.0	608.0	81.0	101.0	2829	0.000755287009063	3.77643504532e-05	0.0123456790123	0.000617283950617
