transcript	chromosomepeak type coordinate	peak size
CNAG_01093T0	chr5	unknown site	1228229	59863	
CNAG_03281T0	chr8	known 5' site	559483	96	
CNAG_03281T0	chr8	known 5' site	560154	185	
CNAG_03281T0	chr8	known 5' site	560261	64	
CNAG_03281T0	chr8	known 5' site	560381	87	
CNAG_03281T0	chr8	known 5' site	560514	122	
CNAG_03281T0	chr8	known 5' site	560630	168	
CNAG_03281T0	chr8	known 5' site	560872	534	
CNAG_03281T0	chr8	known 5' site	561142	198	
CNAG_03281T0	chr8	known 3' site	559982	30	
CNAG_03281T0	chr8	known 3' site	560100	72	
CNAG_03281T0	chr8	known 3' site	560325	43	
CNAG_03281T0	chr8	known 3' site	560568	28	
CNAG_03281T0	chr8	known 3' site	560660	188	
CNAG_03281T0	chr8	known 3' site	560913	102	
CNAG_03281T0	chr8	unknown site	559582	70	
CNAG_03281T0	chr8	unknown site	559645	134	
CNAG_03281T0	chr8	unknown site	559756	55	
CNAG_03281T0	chr8	unknown site	559949	160	
CNAG_03281T0	chr8	unknown site	560992	35	
CNAG_03281T0	chr8	unknown site	561040	81	
CNAG_03281T1	chr8	known 5' site	559483	96	
CNAG_03281T1	chr8	known 5' site	559582	70	
CNAG_03281T1	chr8	known 5' site	559949	160	
CNAG_03281T1	chr8	known 5' site	560154	185	
CNAG_03281T1	chr8	known 5' site	560261	64	
CNAG_03281T1	chr8	known 5' site	560381	87	
CNAG_03281T1	chr8	known 5' site	560514	122	
CNAG_03281T1	chr8	known 5' site	560630	168	
CNAG_03281T1	chr8	known 5' site	560872	534	
CNAG_03281T1	chr8	known 5' site	561142	198	
CNAG_03281T1	chr8	known 3' site	559645	134	
CNAG_03281T1	chr8	known 3' site	559982	30	
CNAG_03281T1	chr8	known 3' site	560100	72	
CNAG_03281T1	chr8	known 3' site	560325	43	
CNAG_03281T1	chr8	known 3' site	560568	28	
CNAG_03281T1	chr8	known 3' site	560660	188	
CNAG_03281T1	chr8	known 3' site	560913	102	
CNAG_03281T1	chr8	unknown site	559756	55	
CNAG_03281T1	chr8	unknown site	560992	35	
CNAG_03281T1	chr8	unknown site	561040	81	
CNAG_03281T2	chr8	known 5' site	559483	96	
CNAG_03281T2	chr8	known 5' site	559949	160	
CNAG_03281T2	chr8	known 5' site	560154	185	
CNAG_03281T2	chr8	known 5' site	560261	64	
CNAG_03281T2	chr8	known 5' site	560381	87	
CNAG_03281T2	chr8	known 5' site	560514	122	
CNAG_03281T2	chr8	known 5' site	560630	168	
CNAG_03281T2	chr8	known 5' site	560872	534	
CNAG_03281T2	chr8	known 5' site	561142	198	
CNAG_03281T2	chr8	known 3' site	559982	30	
CNAG_03281T2	chr8	known 3' site	560100	72	
CNAG_03281T2	chr8	known 3' site	560325	43	
CNAG_03281T2	chr8	known 3' site	560568	28	
CNAG_03281T2	chr8	known 3' site	560660	188	
CNAG_03281T2	chr8	known 3' site	560913	102	
CNAG_03281T2	chr8	unknown site	559582	70	
CNAG_03281T2	chr8	unknown site	559645	134	
CNAG_03281T2	chr8	unknown site	559756	55	
CNAG_03281T2	chr8	unknown site	560992	35	
CNAG_03281T2	chr8	unknown site	561040	81	
CNAG_00115T0	chr1	known 5' site	312743	475	
CNAG_00115T0	chr1	known 5' site	312966	292	
CNAG_00115T0	chr1	known 5' site	313371	161	
CNAG_00115T0	chr1	known 5' site	313708	278	
CNAG_00115T0	chr1	known 3' site	312679	46	
CNAG_00115T0	chr1	known 3' site	312913	82	
CNAG_00115T0	chr1	known 3' site	313308	121	
CNAG_00115T0	chr1	known 3' site	313644	121	
CNAG_00115T0	chr1	unknown site	313203	65	
CNAG_00115T0	chr1	unknown site	313417	28	
CNAG_00453T0	chr1	known 5' site	1174977	200	
CNAG_00453T0	chr1	known 5' site	1175410	459	
CNAG_00453T0	chr1	known 5' site	1175560	440	
CNAG_00453T0	chr1	known 5' site	1175725	409	
CNAG_00453T0	chr1	known 3' site	1175045	206	
CNAG_00453T0	chr1	known 3' site	1175462	31	
CNAG_00453T0	chr1	known 3' site	1175617	87	
CNAG_00453T0	chr1	known 3' site	1175788	68	
CNAG_00453T0	chr1	unknown site	1175112	25	
CNAG_00453T0	chr1	unknown site	1175217	39	
CNAG_00453T0	chr1	unknown site	1175248	28	
CNAG_00453T0	chr1	unknown site	1175496	51	
CNAG_00453T0	chr1	unknown site	1175547	24	
CNAG_00453T0	chr1	unknown site	1175663	52	
CNAG_00453T0	chr1	unknown site	1175828	62	
CNAG_00453T0	chr1	unknown site	1175882	48	
CNAG_06388T0	chr13	known 5' site	360711	647	
CNAG_06388T0	chr13	known 5' site	360880	1025	
CNAG_06388T0	chr13	known 3' site	360628	658	
CNAG_06388T0	chr13	known 3' site	360802	394	
CNAG_06388T0	chr13	unknown site	360460	69	
CNAG_06388T0	chr13	unknown site	360752	128	
CNAG_01761T0	chr11	known 5' site	817111	692	
CNAG_01761T0	chr11	known 5' site	817633	491	
CNAG_01761T0	chr11	known 3' site	817057	239	
CNAG_01761T0	chr11	known 3' site	817567	327	
CNAG_01761T0	chr11	unknown site	817001	61	
CNAG_01761T0	chr11	unknown site	817009	81	
CNAG_01761T0	chr11	unknown site	817483	72	
CNAG_03140T0	chr8	known 5' site	168988	151	
