Transcript	Intron	CJB66D-A_end	CJB66D-B_end	CJB66D-W_end	CJB66G-A_end	CJB66G-B_end	CJB66G-W_end	CJB67D-A_end	CJB67D-B_end	CJB67D-W_end	CJB67G-A_end	CJB67G-B_end	CJB67G-W_end	CJB66D-A_total	CJB66D-B_total	CJB66D-W_total	CJB66G-A_total	CJB66G-B_total	CJB66G-W_total	CJB67D-A_total	CJB67D-B_total	CJB67D-W_total	CJB67G-A_total	CJB67G-B_total	CJB67G-W_total	Length	CJB67D-A_end_norm	CJB67G-A_end_norm
CNAG_00128T0	1	0	0	0	0	0	0	0	0	0	1	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.00162736238783
CNAG_00128T0	2	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	3	0	0	0	0	0	0	0	0	0	2	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.00650944955133
CNAG_00128T0	4	1	0	1	0	0	0	2	1	0	3	1	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0957576666118	0.0146462614905
CNAG_00128T0	5	0	0	0	0	1	0	0	0	0	1	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.00162736238783
CNAG_00128T0	6	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	7	0	0	0	0	0	1	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	8	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	9	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	10	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	11	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00128T0	12	0	0	0	0	0	0	0	0	0	0	0	0	53.0	112.0	236.0	26.0	239.0	288.0	96.0	118.0	193.0	78.0	102.0	183.0	4324	0.0	0.0
CNAG_00549T0	1	9	1	0	3	2	0	3	0	0	24	1	0	46.0	84.0	92.0	13.0	135.0	113.0	60.0	43.0	74.0	107.0	101.0	78.0	1531	0.591247918266	0.946641534752
