Transcript	Intron	5' Splice Site Score	3' Splice Site Score	Intron Length	
CNAG_07389T0	0	5.01701261701	9.33371320038	59	
CNAG_07389T0	1	6.08530728531	13.9259801926	51	
CNAG_07389T0	2	5.98382851716	13.5431827432	49	
CNAG_07389T0	3	6.90061050061	10.8123728124	53	
CNAG_07389T0	4	5.30527743861	13.2375525709	53	
CNAG_00863T0	0	5.01701261701	9.33371320038	59	
CNAG_00863T0	1	6.08530728531	13.9259801926	51	
CNAG_00863T0	2	5.98382851716	13.5431827432	49	
CNAG_00863T0	3	6.90061050061	10.8123728124	53	
CNAG_00863T0	4	5.30527743861	13.2375525709	53	
CNAG_07380T0	0	5.97677384344	13.7150997151	267	
CNAG_07380T0	1	4.93197666531	13.3362094695	35	
CNAG_07381T0	0	5.61611721612	10.7021028354	53	
CNAG_07381T0	1	6.47521367521	11.4984126984	47	
CNAG_07381T0	2	6.42713336047	11.4850088183	47	
CNAG_07381T0	3	6.02995522996	10.3690679691	50	
CNAG_07381T0	4	7.15854022521	13.4107719441	51	
CNAG_07381T0	5	5.44566544567	12.8621896622	52	
CNAG_07381T0	6	6.1397368064	12.4515533849	56	
CNAG_07381T0	7	5.34250440917	13.2842219509	52	
CNAG_07386T0	0	5.84854158187	12.7723239723	51	
CNAG_07386T0	1	5.30527743861	13.0415411749	50	
CNAG_07386T0	2	6.65673585674	12.3348799349	64	
CNAG_07387T0	0	5.05033238367	12.9929181929	246	
CNAG_07387T0	1	5.42363315697	10.9923755257	54	
CNAG_07387T0	2	6.50392077059	13.0428978429	54	
CNAG_07387T0	3	5.46975986976	11.3826075159	49	
CNAG_07387T0	4	5.55045448379	11.5320037987	47	
CNAG_07387T0	5	6.71930538597	13.1450820784	50	
CNAG_07387T0	6	5.51154524488	11.3675213675	55	
CNAG_07387T0	7	5.46975986976	10.9639397639	49	
CNAG_07387T0	8	6.00911680912	11.5539275539	64	
CNAG_00864T0	0	5.69892823226	11.4056708723	60	
CNAG_00864T0	1	6.38556505223	10.7863247863	48	
CNAG_00864T0	2	5.59658119658	10.8412427079	51	
CNAG_00864T0	3	7.00800434134	12.8456383123	53	
CNAG_00864T0	4	5.22414869082	12.3635327635	48	
CNAG_00864T0	5	6.44216524217	10.4777099444	53	
CNAG_00864T0	6	6.45860805861	13.3399538733	50	
CNAG_00865T0	0	6.42528829195	12.6634106634	191	
CNAG_00865T0	1	5.61052774386	13.0372541039	271	
CNAG_00865T0	2	6.06886446886	13.7635056302	66	
CNAG_00549T0	0	6.01226427893	13.5407950075	61	
CNAG_00549T0	1	5.78005698006	13.6485687152	70	
CNAG_00549T0	2	7.22078415412	11.8228734229	59	
CNAG_00869T0	0	6.4741283408	13.7727852395	66	
CNAG_00869T0	1	7.42455569122	13.2086826753	48	
CNAG_00869T0	2	5.84854158187	13.3759327093	48	
CNAG_00869T0	3	6.71930538597	12.8949124949	51	
CNAG_00869T0	4	7.40263193597	13.0442545109	52	
CNAG_00869T0	5	5.22414869082	12.6596662597	51	
CNAG_00869T0	6	4.88975715642	13.5703161036	53	
CNAG_00869T0	7	6.1397368064	10.4810744811	57	
CNAG_00869T0	8	5.90269976937	13.7517297517	53	
CNAG_00869T0	9	5.75802469136	13.1803011803	55	
CNAG_00869T0	10	5.89564509565	10.1674128341	48	
CNAG_00869T0	11	6.73884140551	13.5505087505	52	
CNAG_00869T0	12	5.01701261701	11.3987789988	54	
CNAG_00869T0	13	5.40675620676	13.3340930674	53	
CNAG_00869T0	14	6.65771265771	12.4524216524	57	
CNAG_06169T0	0	5.38472391806	13.0434947768	72	
CNAG_06169T0	1	6.40444987112	12.785619319	63	
CNAG_06169T0	2	5.89076109076	12.2918464252	71	
CNAG_06169T0	3	5.34250440917	13.0406186406	137	
CNAG_06169T0	4	5.46975986976	10.6795278795	76	
CNAG_06169T0	5	5.22414869082	11.0011124678	84	
CNAG_06169T0	6	5.89076109076	12.9112467779	62	
CNAG_06168T0	0	5.40675620676	12.918627052	51	
CNAG_06168T0	1	5.90828924162	13.7368606702	51	
CNAG_06168T0	2	6.32332112332	12.6553791887	54	
CNAG_06168T0	3	6.19568579569	13.8598833265	66	
CNAG_06168T0	4	5.84854158187	13.6354904355	175	
CNAG_06168T0	5	6.59248405915	12.7971238638	57	
CNAG_06168T0	6	5.78005698006	13.9544159544	54	
CNAG_06168T0	7	6.80043413377	11.5698277032	60	
CNAG_06168T0	8	5.51154524488	13.7712115045	66	
CNAG_06165T0	0	7.57205263872	11.5207163207	53	
CNAG_06165T0	1	6.30031203365	13.3528693529	48	
CNAG_06165T0	2	4.59758513092	12.1313797314	51	
CNAG_06165T0	3	6.60138380138	9.36974630308	52	
CNAG_06165T0	4	6.2208655542	13.5401438068	55	
CNAG_06165T0	5	5.8475647809	13.6420567087	63	
CNAG_06165T0	6	4.93197666531	12.6741554742	55	
CNAG_06165T0	7	5.82618369285	11.4125627459	55	
CNAG_06165T0	8	6.07114367114	13.0488671822	64	
CNAG_06165T0	9	6.15265228599	13.5775335775	52	
CNAG_06165T0	10	6.42583095916	13.208954009	56	
CNAG_06165T0	11	5.59658119658	10.4574141907	56	
CNAG_06165T0	12	5.3514041514	10.8987654321	52	
CNAG_06165T0	13	6.01226427893	12.4665852666	56	
CNAG_06165T0	14	6.65673585674	12.6192375526	51	
CNAG_06165T0	15	5.42363315697	10.3043820377	48	
CNAG_06165T0	16	4.97088590422	12.2368742369	50	
CNAG_06165T0	17	5.75802469136	13.9095916429	58	
CNAG_06165T0	18	7.38184778185	13.1973951974	48	
CNAG_06165T0	19	6.60138380138	8.79397639398	45	
CNAG_06165T0	20	5.55045448379	13.0758920092	50	
CNAG_06165T0	21	4.97088590422	12.9581332248	51	
CNAG_06164T0	0	5.89076109076	12.2441459775	66	
CNAG_06164T0	1	6.36554063221	13.4172839506	122	
CNAG_06164T0	2	5.05033238367	12.8460181794	352	
CNAG_06164T0	3	6.71930538597	12.2424094424	59	
CNAG_06164T0	4	6.48226834894	10.7758513092	162	
CNAG_06167T0	0	6.63470356804	12.5628544295	62	
CNAG_06167T0	1	6.52595305929	13.0227106227	52	
CNAG_06167T0	2	5.34250440917	11.4917921585	50	
CNAG_06166T0	0	6.61451634785	12.8627865961	52	
CNAG_06166T0	1	6.59248405915	11.1928910596	40	
CNAG_06166T0	2	6.69770723104	12.8607787274	51	
CNAG_06166T0	3	5.84854158187	12.6546737213	46	
CNAG_06166T0	4	5.67787274454	10.8982770316	45	
CNAG_06166T0	5	6.36331569665	13.6485687152	62	
CNAG_06166T0	6	5.46932573599	12.6516890517	48	
CNAG_06166T0	7	7.03817663818	13.1402523403	51	
CNAG_06166T0	8	6.36103649437	13.7794057794	50	
CNAG_06166T0	9	7.86617826618	11.3332247999	48	
CNAG_06166T0	10	7.43573463573	13.3530864198	46	
CNAG_06166T0	11	5.80371727038	12.6037715371	53	
CNAG_06166T0	12	5.34250440917	13.5199023199	55	
CNAG_06161T0	0	7.87692307692	11.2524759191	56	
CNAG_06161T0	1	5.80371727038	14.1065255732	56	
CNAG_06161T0	2	7.23158323158	13.0040971374	53	
CNAG_06161T0	3	7.66256952924	12.4874779541	52	
CNAG_06161T0	4	5.46932573599	12.6531542532	58	
CNAG_06161T0	5	5.38472391806	13.3169447836	51	
CNAG_06161T0	6	5.8475647809	13.2087369421	53	
CNAG_06161T0	7	6.98298738299	13.9186541853	60	
CNAG_06161T0	8	6.61511328178	9.75064441731	47	
CNAG_06161T0	9	5.34250440917	13.0898928232	75	
CNAG_06161T0	10	6.42713336047	12.6580925248	53	
CNAG_06160T0	0	5.30527743861	12.8339709673	53	
CNAG_06160T0	1	7.23766110433	12.3107312441	56	
CNAG_06160T0	2	5.38472391806	13.3413105413	52	
CNAG_06160T0	3	6.00911680912	13.3821191155	54	
CNAG_06160T0	4	7.37039750373	10.6544566545	50	
CNAG_06160T0	5	7.40746167413	10.2929317596	63	
CNAG_06160T0	6	5.61611721612	12.9587301587	60	
CNAG_06160T0	7	5.42363315697	13.5532763533	62	
CNAG_06163T0	0	5.34250440917	12.8870438204	252	
CNAG_06163T0	1	7.02992809659	12.6546737213	85	
CNAG_06163T0	2	4.97088590422	12.3679826346	96	
CNAG_06163T0	3	4.97088590422	13.20331027	90	
CNAG_06162T0	0	5.51154524488	11.7142314476	79	
CNAG_06162T0	1	4.59758513092	12.7022656356	52	
CNAG_00862T0	0	7.23158323158	13.1921855922	47	
CNAG_00862T0	1	6.51325464659	12.9031067698	49	
CNAG_00862T0	2	5.34250440917	13.9167005834	59	
CNAG_00862T0	3	5.01701261701	9.37620404287	49	
CNAG_00860T0	0	5.40675620676	13.9405236739	64	
CNAG_00860T0	1	6.48785782119	13.4999864333	61	
CNAG_01357T0	0	5.78005698006	12.4256138923	79	
CNAG_01357T0	1	5.80371727038	13.3677927011	70	
CNAG_01356T0	0	6.36103649437	12.6367657034	53	
CNAG_01356T0	1	5.67689594356	12.2277574278	56	
CNAG_01356T0	2	5.40675620676	12.7094288428	57	
CNAG_01355T0	0	4.59758513092	13.3919413919	65	
CNAG_01355T0	1	5.3514041514	11.5724325058	66	
CNAG_01355T0	2	6.84363044363	12.6033374033	53	
CNAG_01355T0	3	5.42363315697	12.8174738841	61	
CNAG_01355T0	4	6.30128883462	12.6316646317	57	
CNAG_01355T0	5	5.95050875051	12.4665852666	60	
CNAG_01355T0	6	5.80371727038	14.0703839371	51	
CNAG_01354T0	0	5.51154524488	12.9095102428	103	
CNAG_01354T0	1	5.49179215846	11.2100393434	88	
CNAG_01354T0	2	5.44566544567	12.5305114638	67	
CNAG_01354T0	3	5.05033238367	13.3478768145	61	
CNAG_01354T0	4	5.34250440917	11.5130647131	58	
CNAG_01354T0	5	5.40675620676	11.2522045855	52	
CNAG_01354T0	6	6.84363044363	12.8878578212	62	
CNAG_01354T0	7	5.75802469136	12.5478768145	57	
CNAG_01354T0	8	6.05117351784	12.891005291	56	
CNAG_01353T0	0	5.22414869082	12.0838420838	48	
CNAG_01353T0	1	6.03554470221	11.3336589337	49	
CNAG_01353T0	2	7.2811287478	10.5000678334	60	
CNAG_01352T0	0	6.26699226699	8.61245421245	52	
CNAG_01352T0	1	6.03114909782	11.5922398589	54	
CNAG_01352T0	2	6.71973951974	8.67312440646	56	
CNAG_01352T0	3	5.22414869082	12.3686338353	56	
CNAG_01351T0	0	5.07236467236	13.4534255868	52	
CNAG_01351T0	1	6.81193867861	11.0781169448	53	
CNAG_01351T0	2	5.46975986976	11.4806132139	55	
CNAG_01351T0	3	6.80634920635	11.41663275	56	
CNAG_01351T0	4	6.71800298467	10.9539546873	60	
CNAG_01351T0	5	5.36453669787	12.7436711437	69	
CNAG_01351T0	6	5.05033238367	13.5129561796	49	
CNAG_01351T0	7	7.43014516348	11.751675485	59	
CNAG_01351T0	8	6.06886446886	12.8035273369	47	
CNAG_01350T0	0	5.89076109076	10.4189390856	57	
CNAG_01350T0	1	6.77883597884	11.5075837743	63	
CNAG_01350T0	2	5.88484601818	13.1590286257	55	
CNAG_01350T0	3	5.3514041514	11.7813593814	50	
CNAG_00866T0	0	5.51154524488	10.8327228327	78	
CNAG_00866T0	1	4.88975715642	12.6265092932	66	
CNAG_00866T0	2	5.3514041514	10.1614977615	95	
CNAG_00866T0	3	5.93097273097	10.6044770045	59	
CNAG_00866T0	4	6.55004748338	11.1031881699	62	
CNAG_00866T0	5	5.82618369285	10.579297246	58	
CNAG_00866T0	6	7.53178673179	12.1197123864	58	
CNAG_00866T0	7	5.22414869082	10.5223714557	51	
CNAG_00866T0	8	5.93097273097	10.5420160087	60	
CNAG_00866T0	9	5.59658119658	11.4708452042	105	
CNAG_00866T0	10	5.8475647809	10.7363451363	61	
CNAG_00866T0	11	5.38472391806	13.7503730837	58	
CNAG_01359T0	0	6.97593270927	12.4112332112	125	
CNAG_01359T0	1	6.03554470221	11.6132953466	56	
CNAG_01359T0	2	6.98803418803	10.4951295618	57	
CNAG_01359T0	3	5.05033238367	12.2277574278	231	
CNAG_01359T0	4	4.88975715642	10.4189933523	62	
CNAG_01358T0	0	6.96600189934	13.9384615385	73	
CNAG_01358T0	1	6.09730023063	11.0784968118	42	
CNAG_01358T0	2	7.84533984534	10.9321937322	72	
CNAG_05847T0	0	5.8475647809	12.167629901	50	
CNAG_05847T0	1	6.84525844526	11.2030932031	58	
CNAG_05847T0	2	5.55636955637	13.251716185	72	
CNAG_05847T0	3	5.17715371049	13.5327635328	57	
CNAG_05847T0	4	5.67689594356	13.7142857143	56	
CNAG_05847T0	5	5.17715371049	11.1237009904	60	
CNAG_05846T0	0	6.18195631529	12.6956450956	75	
CNAG_05846T0	1	5.34250440917	13.0912494912	51	
CNAG_05846T0	2	5.60347307014	12.611965812	61	
CNAG_05846T0	3	7.33528693529	13.1474698141	56	
CNAG_05846T0	4	6.09089675756	12.9544973545	57	
CNAG_05846T0	5	5.61611721612	11.3986161986	60	
CNAG_05846T0	6	5.40675620676	13.5921855922	48	
CNAG_05846T0	7	6.74177180844	11.3555826889	55	
CNAG_05846T0	8	4.93197666531	12.1314339981	53	
CNAG_05846T0	9	6.50923890924	10.7752001085	58	
CNAG_05846T0	10	5.55045448379	11.6727174061	57	
CNAG_05846T0	11	6.09089675756	13.2880748881	61	
CNAG_05846T0	12	5.80371727038	13.0814814815	53	
CNAG_05846T0	13	5.60347307014	11.208954009	72	
CNAG_05845T0	0	6.15265228599	13.541663275	56	
CNAG_05845T0	1	6.90647130647	9.54860941528	59	
CNAG_05845T0	2	5.60347307014	12.5305114638	58	
CNAG_05845T0	3	6.55004748338	11.1604395604	60	
CNAG_05844T0	0	7.81223714557	10.5781576448	65	
CNAG_05844T0	1	6.51032424366	9.79563152896	64	
CNAG_05844T0	2	5.42363315697	13.7562338896	56	
CNAG_05844T0	3	6.13593813594	13.6308234975	67	
CNAG_05844T0	4	6.42528829195	10.1746845747	56	
CNAG_05843T0	0	6.56898656899	12.8650115317	120	
CNAG_05843T0	1	4.88975715642	12.7658119658	51	
CNAG_05843T0	2	5.42363315697	10.6099579433	49	
CNAG_05843T0	3	5.40675620676	12.2515262515	50	
CNAG_05842T0	0	6.30443630444	12.5782119115	60	
CNAG_05842T0	1	5.67689594356	13.5490978158	53	
CNAG_05842T0	2	6.03114909782	10.9253018586	48	
CNAG_05842T0	3	6.45860805861	12.5781576448	51	
CNAG_05842T0	4	6.44216524217	12.9222629223	50	
CNAG_05842T0	5	7.67808981142	13.1305928639	55	
CNAG_05842T0	6	5.80371727038	13.0339438339	69	
CNAG_05841T0	0	7.2393976394	12.8483516484	56	
CNAG_05841T0	1	6.71930538597	13.0145163478	55	
CNAG_05841T0	2	6.61511328178	8.2545651879	60	
CNAG_05840T0	0	6.30443630444	10.3569122236	102	
CNAG_05840T0	1	4.88975715642	13.2517704518	53	
CNAG_05848T0	0	4.97088590422	10.7863247863	71	
CNAG_05848T0	1	6.40444987112	11.9464387464	60	
CNAG_05848T0	2	5.22414869082	13.4035544702	55	
CNAG_05848T0	3	5.61611721612	12.7788902456	57	
CNAG_05848T0	4	5.60347307014	10.3343372677	48	
CNAG_05848T0	5	6.69564509565	13.4118030118	59	
CNAG_05848T0	6	4.93197666531	13.9331976665	60	
CNAG_06381T0	0	4.59758513092	12.3752001085	58	
CNAG_06381T0	1	4.93197666531	10.7363451363	94	
CNAG_06381T0	2	4.93197666531	13.3331705332	56	
CNAG_06381T0	3	4.88975715642	10.9539546873	54	
CNAG_06380T0	0	6.06886446886	13.1094288428	188	
CNAG_06380T0	1	6.48226834894	13.0257495591	97	
CNAG_06380T0	2	6.15265228599	13.2099308099	77	
CNAG_06380T0	3	6.32380952381	13.3471170805	68	
CNAG_06380T0	4	5.61611721612	10.7104056437	72	
CNAG_06380T0	5	6.03554470221	10.9658933659	62	
CNAG_06383T0	0	6.03554470221	10.6551078551	47	
CNAG_06383T0	1	7.05022385022	13.3331705332	53	
CNAG_06383T0	2	5.78005698006	12.0904626238	69	
CNAG_06382T0	0	6.38241758242	13.1855650522	59	
CNAG_06382T0	1	6.56225749559	13.2381495048	57	
CNAG_06382T0	2	6.69770723104	10.6624881292	69	
CNAG_06382T0	3	6.83831230498	12.5623117623	76	
CNAG_06385T0	0	6.82224935558	10.6101750102	56	
CNAG_06385T0	1	6.03554470221	10.1614434948	55	
CNAG_06384T0	0	5.38472391806	12.8180708181	47	
CNAG_06384T0	1	7.33930267264	11.3457604124	51	
CNAG_06384T0	2	6.62200515534	11.3692579026	55	
CNAG_06384T0	3	5.61611721612	11.5437796771	58	
CNAG_06384T0	4	5.40675620676	12.5362637363	54	
CNAG_06384T0	5	5.80415140415	11.4806674807	52	
CNAG_06384T0	6	6.70378510379	11.2382580383	56	
CNAG_06384T0	7	5.07236467236	12.4524216524	53	
CNAG_06384T0	8	6.40553520554	12.7181657848	54	
CNAG_06384T0	9	6.76250169584	11.318627052	57	
CNAG_06384T0	10	5.67689594356	10.6794736128	48	
CNAG_06384T0	11	6.92785239452	12.4813458147	56	
CNAG_06384T0	12	5.44566544567	10.4112332112	52	
CNAG_06384T0	13	5.92967032967	13.55002035	52	
CNAG_06384T0	14	5.38472391806	13.3167819834	60	
CNAG_06384T0	15	5.38472391806	11.7288834622	53	
CNAG_06384T0	16	7.43633156966	12.7181657848	56	
CNAG_06384T0	17	6.60952380952	9.49906389906	55	
CNAG_06384T0	18	4.88975715642	13.0421923755	60	
CNAG_06384T0	19	6.03114909782	13.3550942884	55	
CNAG_06384T0	20	6.5047347714	10.8128069461	46	
CNAG_06384T0	21	6.51032424366	10.6819156152	64	
CNAG_06384T0	22	5.22414869082	13.0781169448	59	
CNAG_06387T0	0	6.09089675756	12.5854836522	117	
CNAG_06387T0	1	4.93197666531	12.4665852666	59	
CNAG_06387T0	2	6.56931216931	13.5342830009	70	
CNAG_06387T0	3	6.77655677656	10.4352191019	61	
CNAG_06387T0	4	6.80542667209	10.8996336996	52	
CNAG_06387T0	5	5.38472391806	12.6726902727	49	
CNAG_06387T0	6	4.97088590422	11.404368471	47	
CNAG_06387T0	7	5.46932573599	12.7773707774	51	
CNAG_06387T0	8	5.75802469136	13.5483923484	54	
CNAG_06387T0	9	5.30527743861	12.8403744404	50	
CNAG_06387T0	10	5.69892823226	11.5726495726	56	
CNAG_06387T0	11	6.40444987112	13.014679148	55	
CNAG_06387T0	12	5.61611721612	11.5343372677	53	
CNAG_06387T0	13	6.38306878307	12.5296431963	51	
CNAG_06389T0	0	6.69564509565	13.5834486501	76	
